
Grupe de varsta a sotului , Grupa de varsta a sotiei pentru casatorii, Ani, UM: Numar persoane, Valoare
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1990, Numar persoane, 5562
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1991, Numar persoane, 5053
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1992, Numar persoane, 4314
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1993, Numar persoane, 3880
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1994, Numar persoane, 3341
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1995, Numar persoane, 3032
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1996, Numar persoane, 2679
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1997, Numar persoane, 2291
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1998, Numar persoane, 1874
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 1999, Numar persoane, 1539
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2000, Numar persoane, 1231
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2001, Numar persoane, 939
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2002, Numar persoane, 964
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2003, Numar persoane, 946
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2004, Numar persoane, 1157
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2005, Numar persoane, 1145
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2006, Numar persoane, 1439
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2007, Numar persoane, 2376
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2008, Numar persoane, 1162
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2009, Numar persoane, 988
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2010, Numar persoane, 571
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2011, Numar persoane, 384
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2012, Numar persoane, 333
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2013, Numar persoane, 285
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2014, Numar persoane, 309
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2015, Numar persoane, 278
Varsta sotului sub 20 ani, Varsta sotiei sub 20 ani, Anul 2016, Numar persoane, 341
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1990, Numar persoane, 2123
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1991, Numar persoane, 1843
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1992, Numar persoane, 1454
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1993, Numar persoane, 1377
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1994, Numar persoane, 1199
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1995, Numar persoane, 1167
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1996, Numar persoane, 1096
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1997, Numar persoane, 1064
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1998, Numar persoane, 903
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 1999, Numar persoane, 818
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2000, Numar persoane, 659
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2001, Numar persoane, 558
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2002, Numar persoane, 495
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2003, Numar persoane, 465
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2004, Numar persoane, 431
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2005, Numar persoane, 476
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2006, Numar persoane, 583
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2007, Numar persoane, 703
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2008, Numar persoane, 559
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2009, Numar persoane, 457
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2010, Numar persoane, 267
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2011, Numar persoane, 185
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2012, Numar persoane, 143
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2013, Numar persoane, 139
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2014, Numar persoane, 137
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2015, Numar persoane, 157
Varsta sotului sub 20 ani, Varsta sotiei 20-24 ani, Anul 2016, Numar persoane, 147
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 1990, Numar persoane, 70
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 1991, Numar persoane, 81
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 1992, Numar persoane, 79
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 1993, Numar persoane, 84
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 1994, Numar persoane, 88
