
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2009, Numar persoane, 7402
0- 4 ani, Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2010, Numar persoane, 7844
0- 4 ani, Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2011, Numar persoane, 7891
0- 4 ani, Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2012, Numar persoane, 7897
0- 4 ani, Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2013, Numar persoane, 7835
0- 4 ani, Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2014, Numar persoane, 7804
0- 4 ani, Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2015, Numar persoane, 7784
0- 4 ani, Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2016, Numar persoane, 7910
0- 4 ani, Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2017, Numar persoane, 8063
0- 4 ani, Masculin, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2009, Numar persoane, 701
0- 4 ani, Masculin, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2010, Numar persoane, 708
0- 4 ani, Masculin, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2011, Numar persoane, 690
0- 4 ani, Masculin, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2012, Numar persoane, 668
0- 4 ani, Masculin, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2013, Numar persoane, 634
0- 4 ani, Masculin, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2014, Numar persoane, 605
0- 4 ani, Masculin, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2015, Numar persoane, 575
