
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2012, Numar persoane, 2901
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2013, Numar persoane, 2823
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2014, Numar persoane, 2715
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2015, Numar persoane, 2671
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2016, Numar persoane, 2604
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2017, Numar persoane, 2608
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2012, Numar persoane, 517
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2013, Numar persoane, 502
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2014, Numar persoane, 473
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2015, Numar persoane, 476
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2016, Numar persoane, 462
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2017, Numar persoane, 438
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 2012, Numar persoane, 261
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 2013, Numar persoane, 245
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 2014, Numar persoane, 235
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 2015, Numar persoane, 222
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 2016, Numar persoane, 218
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 2017, Numar persoane, 221
0- 4 ani, Masculin, Satu Mare, 138039 ORAS LIVADA, Anul 2012, Numar persoane, 210
0- 4 ani, Masculin, Satu Mare, 138039 ORAS LIVADA, Anul 2013, Numar persoane, 203
0- 4 ani, Masculin, Satu Mare, 138039 ORAS LIVADA, Anul 2014, Numar persoane, 200
0- 4 ani, Masculin, Satu Mare, 138039 ORAS LIVADA, Anul 2015, Numar persoane, 214
0- 4 ani, Masculin, Satu Mare, 138039 ORAS LIVADA, Anul 2016, Numar persoane, 215
0- 4 ani, Masculin, Satu Mare, 138039 ORAS LIVADA, Anul 2017, Numar persoane, 217
0- 4 ani, Masculin, Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2012, Numar persoane, 426
0- 4 ani, Masculin, Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2013, Numar persoane, 399
0- 4 ani, Masculin, Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2014, Numar persoane, 379
0- 4 ani, Masculin, Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2015, Numar persoane, 386
0- 4 ani, Masculin, Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2016, Numar persoane, 347
0- 4 ani, Masculin, Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2017, Numar persoane, 357
0- 4 ani, Masculin, Satu Mare, 136642 ORAS TASNAD, Anul 2012, Numar persoane, 227
0- 4 ani, Masculin, Satu Mare, 136642 ORAS TASNAD, Anul 2013, Numar persoane, 239
0- 4 ani, Masculin, Satu Mare, 136642 ORAS TASNAD, Anul 2014, Numar persoane, 237
0- 4 ani, Masculin, Satu Mare, 136642 ORAS TASNAD, Anul 2015, Numar persoane, 249
0- 4 ani, Masculin, Satu Mare, 136642 ORAS TASNAD, Anul 2016, Numar persoane, 252
0- 4 ani, Masculin, Satu Mare, 136642 ORAS TASNAD, Anul 2017, Numar persoane, 227
0- 4 ani, Masculin, Satu Mare, 136713 ACIS, Anul 2012, Numar persoane, 111
