
Sexe, Judete, Localitati , Perioade, UM: Procente, Valoare
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2010, Procente, 2.1
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna ianuarie 2010, Procente, 2.6
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna februarie 2010, Procente, 2.6
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna martie 2010, Procente, 2.6
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna aprilie 2010, Procente, 2.7
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna mai 2010, Procente, 2.4
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna iunie 2010, Procente, 2.4
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna iulie 2010, Procente, 2.4
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna august 2010, Procente, 2.5
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna septembrie 2010, Procente, 2.6
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna octombrie 2010, Procente, 2.5
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna noiembrie 2010, Procente, 2.1
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna decembrie 2010, Procente, 2.1
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2011, Procente, 1.1
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna ianuarie 2011, Procente, 2
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna februarie 2011, Procente, 1.7
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna martie 2011, Procente, 1.3
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna aprilie 2011, Procente, 1.1
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna mai 2011, Procente, .9
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna iunie 2011, Procente, .8
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna iulie 2011, Procente, 1
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna august 2011, Procente, 1.1
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna septembrie 2011, Procente, 1.1
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna octombrie 2011, Procente, 1.1
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna noiembrie 2011, Procente, 1.1
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna decembrie 2011, Procente, 1.1
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2012, Procente, 1.2
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna ianuarie 2012, Procente, 1.2
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna februarie 2012, Procente, 1.2
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna martie 2012, Procente, 1.1
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna aprilie 2012, Procente, 1
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna mai 2012, Procente, .9
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna iunie 2012, Procente, .9
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna iulie 2012, Procente, 1
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna august 2012, Procente, 1.1
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna septembrie 2012, Procente, 1.1
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna octombrie 2012, Procente, 1.1
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna noiembrie 2012, Procente, 1.1
Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Luna decembrie 2012, Procente, 1.2
