
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1992, Numar persoane, 10690
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1993, Numar persoane, 9867
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1994, Numar persoane, 9150
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1995, Numar persoane, 8322
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1996, Numar persoane, 7728
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1997, Numar persoane, 7299
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1998, Numar persoane, 7021
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 1992, Numar persoane, 1914
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 1993, Numar persoane, 1794
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 1994, Numar persoane, 1585
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 1995, Numar persoane, 1433
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 1996, Numar persoane, 1292
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 1997, Numar persoane, 1174
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 1998, Numar persoane, 1121
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 1992, Numar persoane, 338
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 1993, Numar persoane, 319
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 1994, Numar persoane, 298
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 1995, Numar persoane, 264
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 1996, Numar persoane, 238
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 1997, Numar persoane, 235
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 1998, Numar persoane, 223
0- 4 ani, Masculin, Timis, 156357 ORAS CIACOVA, Anul 1992, Numar persoane, 238
0- 4 ani, Masculin, Timis, 156357 ORAS CIACOVA, Anul 1993, Numar persoane, 243
0- 4 ani, Masculin, Timis, 156357 ORAS CIACOVA, Anul 1994, Numar persoane, 238
0- 4 ani, Masculin, Timis, 156357 ORAS CIACOVA, Anul 1995, Numar persoane, 226
0- 4 ani, Masculin, Timis, 156357 ORAS CIACOVA, Anul 1996, Numar persoane, 231
0- 4 ani, Masculin, Timis, 156357 ORAS CIACOVA, Anul 1997, Numar persoane, 216
0- 4 ani, Masculin, Timis, 156357 ORAS CIACOVA, Anul 1998, Numar persoane, 198
0- 4 ani, Masculin, Timis, 155458 ORAS DETA, Anul 1992, Numar persoane, 301
0- 4 ani, Masculin, Timis, 155458 ORAS DETA, Anul 1993, Numar persoane, 293
0- 4 ani, Masculin, Timis, 155458 ORAS DETA, Anul 1994, Numar persoane, 282
0- 4 ani, Masculin, Timis, 155458 ORAS DETA, Anul 1995, Numar persoane, 265
0- 4 ani, Masculin, Timis, 155458 ORAS DETA, Anul 1996, Numar persoane, 239
0- 4 ani, Masculin, Timis, 155458 ORAS DETA, Anul 1997, Numar persoane, 220
0- 4 ani, Masculin, Timis, 155458 ORAS DETA, Anul 1998, Numar persoane, 212
0- 4 ani, Masculin, Timis, 156801 ORAS FAGET, Anul 1992, Numar persoane, 281
0- 4 ani, Masculin, Timis, 156801 ORAS FAGET, Anul 1993, Numar persoane, 264
0- 4 ani, Masculin, Timis, 156801 ORAS FAGET, Anul 1994, Numar persoane, 249
0- 4 ani, Masculin, Timis, 156801 ORAS FAGET, Anul 1995, Numar persoane, 236
0- 4 ani, Masculin, Timis, 156801 ORAS FAGET, Anul 1996, Numar persoane, 238
0- 4 ani, Masculin, Timis, 156801 ORAS FAGET, Anul 1997, Numar persoane, 231
0- 4 ani, Masculin, Timis, 156801 ORAS FAGET, Anul 1998, Numar persoane, 247
0- 4 ani, Masculin, Timis, 157086 ORAS GATAIA, Anul 1992, Numar persoane, 377
0- 4 ani, Masculin, Timis, 157086 ORAS GATAIA, Anul 1993, Numar persoane, 355
0- 4 ani, Masculin, Timis, 157086 ORAS GATAIA, Anul 1994, Numar persoane, 320
0- 4 ani, Masculin, Timis, 157086 ORAS GATAIA, Anul 1995, Numar persoane, 294
0- 4 ani, Masculin, Timis, 157086 ORAS GATAIA, Anul 1996, Numar persoane, 277
0- 4 ani, Masculin, Timis, 157086 ORAS GATAIA, Anul 1997, Numar persoane, 255
0- 4 ani, Masculin, Timis, 157086 ORAS GATAIA, Anul 1998, Numar persoane, 233
0- 4 ani, Masculin, Timis, 155494 ORAS JIMBOLIA, Anul 1992, Numar persoane, 594
0- 4 ani, Masculin, Timis, 155494 ORAS JIMBOLIA, Anul 1993, Numar persoane, 546
0- 4 ani, Masculin, Timis, 155494 ORAS JIMBOLIA, Anul 1994, Numar persoane, 501
0- 4 ani, Masculin, Timis, 155494 ORAS JIMBOLIA, Anul 1995, Numar persoane, 467
0- 4 ani, Masculin, Timis, 155494 ORAS JIMBOLIA, Anul 1996, Numar persoane, 438
0- 4 ani, Masculin, Timis, 155494 ORAS JIMBOLIA, Anul 1997, Numar persoane, 410
