
Sexe, Judete, Localitati , Perioade, UM: Procente, Valoare
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2010, Procente, 2.2
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna ianuarie 2010, Procente, 2.4
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna februarie 2010, Procente, 2.5
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna martie 2010, Procente, 2.5
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna aprilie 2010, Procente, 2.6
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna mai 2010, Procente, 2.6
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna iunie 2010, Procente, 2.6
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna iulie 2010, Procente, 2.5
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna august 2010, Procente, 2.6
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna septembrie 2010, Procente, 2.6
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna octombrie 2010, Procente, 2.4
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna noiembrie 2010, Procente, 2.4
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna decembrie 2010, Procente, 2.2
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2011, Procente, .9
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna ianuarie 2011, Procente, 2
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna februarie 2011, Procente, 1.6
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna martie 2011, Procente, 1.2
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna aprilie 2011, Procente, 1.1
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna mai 2011, Procente, 1
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna iunie 2011, Procente, .9
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna iulie 2011, Procente, .9
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna august 2011, Procente, .9
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna septembrie 2011, Procente, .9
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna octombrie 2011, Procente, .9
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna noiembrie 2011, Procente, .9
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna decembrie 2011, Procente, .9
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2012, Procente, .9
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna ianuarie 2012, Procente, .9
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna februarie 2012, Procente, .9
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna martie 2012, Procente, .9
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna aprilie 2012, Procente, .8
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna mai 2012, Procente, .7
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna iunie 2012, Procente, .8
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna iulie 2012, Procente, .8
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna august 2012, Procente, .9
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna septembrie 2012, Procente, .8
Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Luna octombrie 2012, Procente, .8
