
Nationalitati , Ani, UM: Numar persoane, Valoare
De nationalitate romana, Anul 1991, Numar persoane, 1196
De nationalitate romana, Anul 1992, Numar persoane, 1434
De nationalitate romana, Anul 1993, Numar persoane, 1041
De nationalitate romana, Anul 1994, Numar persoane, 723
De nationalitate romana, Anul 1995, Numar persoane, 3753
De nationalitate romana, Anul 1996, Numar persoane, 1797
De nationalitate romana, Anul 1997, Numar persoane, 6035
De nationalitate romana, Anul 1998, Numar persoane, 11241
De nationalitate romana, Anul 1999, Numar persoane, 9600
De nationalitate romana, Anul 2000, Numar persoane, 10753
De nationalitate romana, Anul 2001, Numar persoane, 10088
De nationalitate romana, Anul 2002, Numar persoane, 6353
De nationalitate romana, Anul 2003, Numar persoane, 3038
De nationalitate romana, Anul 2004, Numar persoane, 2673
De nationalitate romana, Anul 2005, Numar persoane, 3446
De nationalitate romana, Anul 2006, Numar persoane, 6042
De nationalitate romana, Anul 2007, Numar persoane, 6689
De nationalitate romana, Anul 2008, Numar persoane, 7111
De nationalitate romana, Anul 2009, Numar persoane, 6393
De nationalitate romana, Anul 2010, Numar persoane, 5334
De nationalitate maghiara, Anul 1991, Numar persoane, 89
De nationalitate maghiara, Anul 1992, Numar persoane, 61
De nationalitate maghiara, Anul 1993, Numar persoane, 53
De nationalitate maghiara, Anul 1994, Numar persoane, 52
De nationalitate maghiara, Anul 1995, Numar persoane, 325
De nationalitate maghiara, Anul 1996, Numar persoane, 131
De nationalitate maghiara, Anul 1997, Numar persoane, 320
De nationalitate maghiara, Anul 1998, Numar persoane, 406
De nationalitate maghiara, Anul 1999, Numar persoane, 274
De nationalitate maghiara, Anul 2000, Numar persoane, 163
De nationalitate maghiara, Anul 2001, Numar persoane, 125
De nationalitate maghiara, Anul 2002, Numar persoane, 102
De nationalitate maghiara, Anul 2003, Numar persoane, 88
De nationalitate maghiara, Anul 2004, Numar persoane, 107
De nationalitate maghiara, Anul 2005, Numar persoane, 97
De nationalitate maghiara, Anul 2006, Numar persoane, 95
De nationalitate maghiara, Anul 2007, Numar persoane, 237
De nationalitate maghiara, Anul 2008, Numar persoane, 301
De nationalitate maghiara, Anul 2009, Numar persoane, 280
De nationalitate maghiara, Anul 2010, Numar persoane, 236
De nationalitate germani, Anul 1991, Numar persoane, 118
De nationalitate germani, Anul 1992, Numar persoane, 105
De nationalitate germani, Anul 1993, Numar persoane, 81
De nationalitate germani, Anul 1994, Numar persoane, 23
De nationalitate germani, Anul 1995, Numar persoane, 162
De nationalitate germani, Anul 1996, Numar persoane, 42
De nationalitate germani, Anul 1997, Numar persoane, 87
De nationalitate germani, Anul 1998, Numar persoane, 80
De nationalitate germani, Anul 1999, Numar persoane, 56
De nationalitate germani, Anul 2000, Numar persoane, 37
De nationalitate germani, Anul 2001, Numar persoane, 34
De nationalitate germani, Anul 2002, Numar persoane, 33
De nationalitate germani, Anul 2003, Numar persoane, 30
De nationalitate germani, Anul 2004, Numar persoane, 55
De nationalitate germani, Anul 2005, Numar persoane, 41
De nationalitate germani, Anul 2006, Numar persoane, 38
De nationalitate germani, Anul 2007, Numar persoane, 99
De nationalitate germani, Anul 2008, Numar persoane, 108
De nationalitate germani, Anul 2009, Numar persoane, 98
De nationalitate germani, Anul 2010, Numar persoane, 102
De nationalitate evrei, Anul 1991, Numar persoane, 98
De nationalitate evrei, Anul 1992, Numar persoane, 47
De nationalitate evrei, Anul 1993, Numar persoane, 34
De nationalitate evrei, Anul 1994, Numar persoane, 16
De nationalitate evrei, Anul 1995, Numar persoane, 95
De nationalitate evrei, Anul 1996, Numar persoane, 18
De nationalitate evrei, Anul 1997, Numar persoane, 69
De nationalitate evrei, Anul 1998, Numar persoane, 88
De nationalitate evrei, Anul 1999, Numar persoane, 69
De nationalitate evrei, Anul 2000, Numar persoane, 40
De nationalitate evrei, Anul 2001, Numar persoane, 76
De nationalitate evrei, Anul 2002, Numar persoane, 50
De nationalitate evrei, Anul 2003, Numar persoane, 65
De nationalitate evrei, Anul 2004, Numar persoane, 84
De nationalitate evrei, Anul 2005, Numar persoane, 64
De nationalitate evrei, Anul 2006, Numar persoane, 72
De nationalitate evrei, Anul 2007, Numar persoane, 106
De nationalitate evrei, Anul 2008, Numar persoane, 61
De nationalitate evrei, Anul 2009, Numar persoane, 66
De nationalitate evrei, Anul 2010, Numar persoane, 46
De alte nationalitati, Anul 1991, Numar persoane, 101
De alte nationalitati, Anul 1992, Numar persoane, 106
De alte nationalitati, Anul 1993, Numar persoane, 60
De alte nationalitati, Anul 1994, Numar persoane, 64
De alte nationalitati, Anul 1995, Numar persoane, 123
De alte nationalitati, Anul 1996, Numar persoane, 65
De alte nationalitati, Anul 1997, Numar persoane, 89
De alte nationalitati, Anul 1998, Numar persoane, 92
De alte nationalitati, Anul 1999, Numar persoane, 79
De alte nationalitati, Anul 2000, Numar persoane, 31
De alte nationalitati, Anul 2001, Numar persoane, 27
De alte nationalitati, Anul 2002, Numar persoane, 44
De alte nationalitati, Anul 2003, Numar persoane, 46
De alte nationalitati, Anul 2004, Numar persoane, 68
De alte nationalitati, Anul 2005, Numar persoane, 56
De alte nationalitati, Anul 2006, Numar persoane, 1467
De alte nationalitati, Anul 2007, Numar persoane, 2444
De alte nationalitati, Anul 2008, Numar persoane, 2449
De alte nationalitati, Anul 2009, Numar persoane, 1769
De alte nationalitati, Anul 2010, Numar persoane, 1341
De alte nationalitati, Anul 2011, Numar persoane, 15538
De alte nationalitati, Anul 2012, Numar persoane, 21684
