
Sexe, Judete, Localitati , Perioade, UM: Procente, Valoare
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2010, Procente, 2.2
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna ianuarie 2010, Procente, 3.2
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna februarie 2010, Procente, 3.3
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna martie 2010, Procente, 3.2
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna aprilie 2010, Procente, 2.9
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna mai 2010, Procente, 2.7
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna iunie 2010, Procente, 2.7
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna iulie 2010, Procente, 2.7
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna august 2010, Procente, 2.7
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna septembrie 2010, Procente, 2.7
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna octombrie 2010, Procente, 2.6
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna noiembrie 2010, Procente, 2.4
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna decembrie 2010, Procente, 2.2
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2011, Procente, 1.3
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna ianuarie 2011, Procente, 2.1
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna februarie 2011, Procente, 1.9
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna martie 2011, Procente, 1.5
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna aprilie 2011, Procente, 1.5
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna mai 2011, Procente, 1.4
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna iunie 2011, Procente, 1.4
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna iulie 2011, Procente, 1.3
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna august 2011, Procente, 1.3
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna septembrie 2011, Procente, 1.3
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna octombrie 2011, Procente, 1.2
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna noiembrie 2011, Procente, 1.2
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna decembrie 2011, Procente, 1.3
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2012, Procente, 1
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna ianuarie 2012, Procente, 1.3
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna februarie 2012, Procente, 1.2
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna martie 2012, Procente, 1.1
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna aprilie 2012, Procente, 1
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna mai 2012, Procente, .9
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna iunie 2012, Procente, .9
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna iulie 2012, Procente, .9
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna august 2012, Procente, 1
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna septembrie 2012, Procente, 1
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna octombrie 2012, Procente, 1
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna noiembrie 2012, Procente, .9
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna decembrie 2012, Procente, 1
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2013, Procente, .8
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna ianuarie 2013, Procente, 1.1
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna februarie 2013, Procente, 1
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna martie 2013, Procente, .9
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna aprilie 2013, Procente, .8
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna mai 2013, Procente, .7
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna iunie 2013, Procente, .6
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna iulie 2013, Procente, .6
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna august 2013, Procente, .7
Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Luna septembrie 2013, Procente, .7
