
Sexe, Judete, Localitati , Perioade, UM: Procente, Valoare
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2010, Procente, 2
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna ianuarie 2010, Procente, 3.2
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna februarie 2010, Procente, 3.3
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna martie 2010, Procente, 3.4
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna aprilie 2010, Procente, 3.3
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna mai 2010, Procente, 3.1
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna iunie 2010, Procente, 2.9
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna iulie 2010, Procente, 2.7
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna august 2010, Procente, 2.7
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna septembrie 2010, Procente, 2.6
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna octombrie 2010, Procente, 2.5
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna noiembrie 2010, Procente, 2.2
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna decembrie 2010, Procente, 2
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2011, Procente, 1.4
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna ianuarie 2011, Procente, 2.1
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna februarie 2011, Procente, 1.9
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna martie 2011, Procente, 1.7
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna aprilie 2011, Procente, 1.5
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna mai 2011, Procente, 1.4
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna iunie 2011, Procente, 1.3
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna iulie 2011, Procente, 1.3
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna august 2011, Procente, 1.3
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna septembrie 2011, Procente, 1.3
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna octombrie 2011, Procente, 1.3
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna noiembrie 2011, Procente, 1.3
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna decembrie 2011, Procente, 1.4
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2012, Procente, 1.4
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna ianuarie 2012, Procente, 1.4
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna februarie 2012, Procente, 1.5
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna martie 2012, Procente, 1.4
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna aprilie 2012, Procente, 1.4
Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Luna mai 2012, Procente, 1.3
