
Medii de rezidenta, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Ani, Valoare
Urban, Masculin, Bihor, Anul 1991, Ani, 27.2
Urban, Masculin, Bihor, Anul 1992, Ani, 27.4
Urban, Masculin, Bihor, Anul 1993, Ani, 27.6
Urban, Masculin, Bihor, Anul 1994, Ani, 27.8
Urban, Masculin, Bihor, Anul 1995, Ani, 27.7
Urban, Masculin, Bihor, Anul 1996, Ani, 28.3
Urban, Masculin, Bihor, Anul 1997, Ani, 28.2
Urban, Masculin, Bihor, Anul 1998, Ani, 28.5
Urban, Masculin, Bihor, Anul 1999, Ani, 28.6
Urban, Masculin, Bihor, Anul 2000, Ani, 28.8
Urban, Masculin, Bihor, Anul 2001, Ani, 29.1
Urban, Masculin, Bihor, Anul 2002, Ani, 29.3
Urban, Masculin, Bihor, Anul 2003, Ani, 29.4
Urban, Masculin, Bihor, Anul 2004, Ani, 30.2
Urban, Masculin, Bihor, Anul 2005, Ani, 30.1
Urban, Masculin, Bihor, Anul 2006, Ani, 30.6
Urban, Masculin, Bihor, Anul 2007, Ani, 30.6
Urban, Masculin, Bihor, Anul 2008, Ani, 31
Urban, Masculin, Bihor, Anul 2009, Ani, 30.9
Urban, Masculin, Bihor, Anul 2010, Ani, 30.9
Urban, Masculin, Bihor, Anul 2011, Ani, 31.2
Urban, Masculin, Bihor, Anul 2012, Ani, 31.9
Urban, Masculin, Bihor, Anul 2013, Ani, 32
Urban, Masculin, Bihor, Anul 2014, Ani, 32.2
Urban, Masculin, Bihor, Anul 2015, Ani, 32
Urban, Masculin, Bihor, Anul 2016, Ani, 32.6
Urban, Masculin, Cluj, Anul 1991, Ani, 27.3
Urban, Masculin, Cluj, Anul 1992, Ani, 27.7
Urban, Masculin, Cluj, Anul 1993, Ani, 27.8
Urban, Masculin, Cluj, Anul 1994, Ani, 28.2
Urban, Masculin, Cluj, Anul 1995, Ani, 28.7
Urban, Masculin, Cluj, Anul 1996, Ani, 28.4
Urban, Masculin, Cluj, Anul 1997, Ani, 28.7
Urban, Masculin, Cluj, Anul 1998, Ani, 28.9
Urban, Masculin, Cluj, Anul 1999, Ani, 29
Urban, Masculin, Cluj, Anul 2000, Ani, 29.1
Urban, Masculin, Cluj, Anul 2001, Ani, 29.5
Urban, Masculin, Cluj, Anul 2002, Ani, 29.5
Urban, Masculin, Cluj, Anul 2003, Ani, 29.8
Urban, Masculin, Cluj, Anul 2004, Ani, 31.2
Urban, Masculin, Cluj, Anul 2005, Ani, 31.3
Urban, Masculin, Cluj, Anul 2006, Ani, 31
Urban, Masculin, Cluj, Anul 2007, Ani, 31
Urban, Masculin, Cluj, Anul 2008, Ani, 31.1
Urban, Masculin, Cluj, Anul 2009, Ani, 31
Urban, Masculin, Cluj, Anul 2010, Ani, 31.2
Urban, Masculin, Cluj, Anul 2011, Ani, 31.6
Urban, Masculin, Cluj, Anul 2012, Ani, 32.2
Urban, Masculin, Cluj, Anul 2013, Ani, 32.6
Urban, Masculin, Cluj, Anul 2014, Ani, 34.5
Urban, Masculin, Cluj, Anul 2015, Ani, 33.6
Urban, Masculin, Cluj, Anul 2016, Ani, 33.3
Urban, Masculin, Satu Mare, Anul 1991, Ani, 26.7
Urban, Masculin, Satu Mare, Anul 1992, Ani, 26.8
Urban, Masculin, Satu Mare, Anul 1993, Ani, 26.4
Urban, Masculin, Satu Mare, Anul 1994, Ani, 27
Urban, Masculin, Satu Mare, Anul 1995, Ani, 27.6
Urban, Masculin, Satu Mare, Anul 1996, Ani, 27.4
Urban, Masculin, Satu Mare, Anul 1997, Ani, 27.5
Urban, Masculin, Satu Mare, Anul 1998, Ani, 27.9
Urban, Masculin, Satu Mare, Anul 1999, Ani, 27.8
Urban, Masculin, Satu Mare, Anul 2000, Ani, 28.1
Urban, Masculin, Satu Mare, Anul 2001, Ani, 28.5
Urban, Masculin, Satu Mare, Anul 2002, Ani, 28.8
Urban, Masculin, Satu Mare, Anul 2003, Ani, 28.8
Urban, Masculin, Satu Mare, Anul 2004, Ani, 30
Urban, Masculin, Satu Mare, Anul 2005, Ani, 29.9
Urban, Masculin, Satu Mare, Anul 2006, Ani, 29.5
Urban, Masculin, Satu Mare, Anul 2007, Ani, 29.8
Urban, Masculin, Satu Mare, Anul 2008, Ani, 30.3
Urban, Masculin, Satu Mare, Anul 2009, Ani, 30.2
Urban, Masculin, Satu Mare, Anul 2010, Ani, 30.7
Urban, Masculin, Satu Mare, Anul 2011, Ani, 30.4
Urban, Masculin, Satu Mare, Anul 2012, Ani, 31
Urban, Masculin, Satu Mare, Anul 2013, Ani, 31
Urban, Masculin, Satu Mare, Anul 2014, Ani, 31.7
Urban, Masculin, Satu Mare, Anul 2015, Ani, 32.7
Urban, Masculin, Satu Mare, Anul 2016, Ani, 32.1
Urban, Masculin, Brasov, Anul 1991, Ani, 28.2
Urban, Masculin, Brasov, Anul 1992, Ani, 28
Urban, Masculin, Brasov, Anul 1993, Ani, 28.3
Urban, Masculin, Brasov, Anul 1994, Ani, 28.8
Urban, Masculin, Brasov, Anul 1995, Ani, 29.3
Urban, Masculin, Brasov, Anul 1996, Ani, 29.6
Urban, Masculin, Brasov, Anul 1997, Ani, 29.4
Urban, Masculin, Brasov, Anul 1998, Ani, 29.8
Urban, Masculin, Brasov, Anul 1999, Ani, 29.4
