
Sexe, Judete, Localitati , Perioade, UM: Procente, Valoare
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 2010, Procente, 3.5
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna ianuarie 2010, Procente, 5.5
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna februarie 2010, Procente, 5.6
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna martie 2010, Procente, 5.4
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna aprilie 2010, Procente, 5
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna mai 2010, Procente, 4.6
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna iunie 2010, Procente, 4.4
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna iulie 2010, Procente, 4.7
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna august 2010, Procente, 4.6
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna septembrie 2010, Procente, 4.2
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna octombrie 2010, Procente, 3.4
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna noiembrie 2010, Procente, 3.3
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna decembrie 2010, Procente, 3.5
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 2011, Procente, 3
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna ianuarie 2011, Procente, 3.8
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna februarie 2011, Procente, 3.8
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna martie 2011, Procente, 3.5
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna aprilie 2011, Procente, 3
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna mai 2011, Procente, 2.9
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna iunie 2011, Procente, 2.9
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna iulie 2011, Procente, 3.1
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna august 2011, Procente, 3
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna septembrie 2011, Procente, 2.8
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna octombrie 2011, Procente, 2.5
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna noiembrie 2011, Procente, 2.5
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna decembrie 2011, Procente, 3
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 2012, Procente, 2.3
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna ianuarie 2012, Procente, 2.9
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna februarie 2012, Procente, 3.2
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna martie 2012, Procente, 3.1
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna aprilie 2012, Procente, 3
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna mai 2012, Procente, 2.8
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna iunie 2012, Procente, 2.6
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna iulie 2012, Procente, 2.7
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna august 2012, Procente, 2.8
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna septembrie 2012, Procente, 2.3
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna octombrie 2012, Procente, 2.1
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna noiembrie 2012, Procente, 2.3
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna decembrie 2012, Procente, 2.3
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 2013, Procente, 2.4
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna ianuarie 2013, Procente, 2.8
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna februarie 2013, Procente, 2.7
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna martie 2013, Procente, 2.6
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna aprilie 2013, Procente, 2.5
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna mai 2013, Procente, 2.3
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna iunie 2013, Procente, 2.3
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna iulie 2013, Procente, 2.8
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna august 2013, Procente, 2.7
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna septembrie 2013, Procente, 2.7
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna octombrie 2013, Procente, 2.3
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna noiembrie 2013, Procente, 2.3
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna decembrie 2013, Procente, 2.4
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 2014, Procente, 1.8
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna ianuarie 2014, Procente, 2.6
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna februarie 2014, Procente, 2.6
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna martie 2014, Procente, 2.1
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna aprilie 2014, Procente, 2
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna mai 2014, Procente, 1.7
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna iunie 2014, Procente, 2
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna iulie 2014, Procente, 2.3
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna august 2014, Procente, 2.1
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna septembrie 2014, Procente, 2
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna octombrie 2014, Procente, 1.7
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna noiembrie 2014, Procente, 1.7
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna decembrie 2014, Procente, 1.8
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 2015, Procente, 1.6
Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Luna ianuarie 2015, Procente, 1.9
