
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1992, Numar persoane, 5187
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1993, Numar persoane, 4822
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1994, Numar persoane, 4263
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1995, Numar persoane, 3722
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1996, Numar persoane, 3306
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1997, Numar persoane, 3096
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1998, Numar persoane, 2964
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1999, Numar persoane, 2909
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2000, Numar persoane, 2830
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2001, Numar persoane, 2881
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2002, Numar persoane, 2842
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2003, Numar persoane, 2881
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1992, Numar persoane, 1045
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1993, Numar persoane, 960
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1994, Numar persoane, 863
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1995, Numar persoane, 756
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1996, Numar persoane, 681
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1997, Numar persoane, 612
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1998, Numar persoane, 579
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1999, Numar persoane, 552
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2000, Numar persoane, 552
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2001, Numar persoane, 536
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2002, Numar persoane, 526
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2003, Numar persoane, 514
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 1992, Numar persoane, 276
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 1993, Numar persoane, 269
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 1994, Numar persoane, 247
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 1995, Numar persoane, 234
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 1996, Numar persoane, 208
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 1997, Numar persoane, 190
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 1998, Numar persoane, 174
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 1999, Numar persoane, 163
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 2000, Numar persoane, 145
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 2001, Numar persoane, 154
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 2002, Numar persoane, 180
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 2003, Numar persoane, 201
0- 4 ani, Masculin, Satu Mare, 138039 ORAS LIVADA, Anul 1992, Numar persoane, 310
0- 4 ani, Masculin, Satu Mare, 138039 ORAS LIVADA, Anul 1993, Numar persoane, 281
0- 4 ani, Masculin, Satu Mare, 138039 ORAS LIVADA, Anul 1994, Numar persoane, 288
0- 4 ani, Masculin, Satu Mare, 138039 ORAS LIVADA, Anul 1995, Numar persoane, 286
0- 4 ani, Masculin, Satu Mare, 138039 ORAS LIVADA, Anul 1996, Numar persoane, 273
0- 4 ani, Masculin, Satu Mare, 138039 ORAS LIVADA, Anul 1997, Numar persoane, 258
