
Sexe, Judete, Localitati , Perioade, UM: Procente, Valoare
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2010, Procente, 2.9
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna ianuarie 2010, Procente, 3.6
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna februarie 2010, Procente, 3.8
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna martie 2010, Procente, 3.7
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna aprilie 2010, Procente, 3.5
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna mai 2010, Procente, 3.4
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna iunie 2010, Procente, 3.3
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna iulie 2010, Procente, 3.3
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna august 2010, Procente, 3.5
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna septembrie 2010, Procente, 3.4
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna octombrie 2010, Procente, 3.4
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna noiembrie 2010, Procente, 3
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna decembrie 2010, Procente, 2.9
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2011, Procente, 1.6
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna ianuarie 2011, Procente, 2.7
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna februarie 2011, Procente, 2.3
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna martie 2011, Procente, 2
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna aprilie 2011, Procente, 1.8
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna mai 2011, Procente, 1.6
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna iunie 2011, Procente, 1.5
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna iulie 2011, Procente, 1.6
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna august 2011, Procente, 1.7
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna septembrie 2011, Procente, 1.6
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna octombrie 2011, Procente, 1.6
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna noiembrie 2011, Procente, 1.6
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna decembrie 2011, Procente, 1.6
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2012, Procente, 1.5
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna ianuarie 2012, Procente, 1.7
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna februarie 2012, Procente, 1.7
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna martie 2012, Procente, 1.5
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna aprilie 2012, Procente, 1.4
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna mai 2012, Procente, 1.3
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna iunie 2012, Procente, 1.3
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna iulie 2012, Procente, 1.4
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna august 2012, Procente, 1.4
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna septembrie 2012, Procente, 1.4
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna octombrie 2012, Procente, 1.4
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna noiembrie 2012, Procente, 1.4
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna decembrie 2012, Procente, 1.5
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2013, Procente, 1.4
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna ianuarie 2013, Procente, 1.6
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna februarie 2013, Procente, 1.7
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna martie 2013, Procente, 1.5
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna aprilie 2013, Procente, 1.4
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna mai 2013, Procente, 1.3
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna iunie 2013, Procente, 1.3
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna iulie 2013, Procente, 1.3
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna august 2013, Procente, 1.4
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna septembrie 2013, Procente, 1.4
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna octombrie 2013, Procente, 1.3
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna noiembrie 2013, Procente, 1.4
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna decembrie 2013, Procente, 1.4
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2014, Procente, 1.2
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna ianuarie 2014, Procente, 1.5
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna februarie 2014, Procente, 1.4
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna martie 2014, Procente, 1.6
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna aprilie 2014, Procente, 1.4
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna mai 2014, Procente, 1.4
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna iunie 2014, Procente, 1.5
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna iulie 2014, Procente, 1.1
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna august 2014, Procente, .2
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna septembrie 2014, Procente, 1
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna octombrie 2014, Procente, 1.2
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna noiembrie 2014, Procente, 1.5
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna decembrie 2014, Procente, 1.2
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2015, Procente, .5
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna ianuarie 2015, Procente, 1.3
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna februarie 2015, Procente, 1.3
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna martie 2015, Procente, .8
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna aprilie 2015, Procente, .9
Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Luna mai 2015, Procente, 1
