
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 1992, Numar persoane, 10510
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 1993, Numar persoane, 9501
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 1994, Numar persoane, 8376
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 1995, Numar persoane, 7234
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 1996, Numar persoane, 6384
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 1997, Numar persoane, 5878
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 1998, Numar persoane, 5520
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 1999, Numar persoane, 5234
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2000, Numar persoane, 5097
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2001, Numar persoane, 5106
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2002, Numar persoane, 5089
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2003, Numar persoane, 5109
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2004, Numar persoane, 5172
0- 4 ani, Masculin, Brasov, 40241 MUNICIPIUL CODLEA, Anul 1992, Numar persoane, 872
0- 4 ani, Masculin, Brasov, 40241 MUNICIPIUL CODLEA, Anul 1993, Numar persoane, 810
0- 4 ani, Masculin, Brasov, 40241 MUNICIPIUL CODLEA, Anul 1994, Numar persoane, 764
0- 4 ani, Masculin, Brasov, 40241 MUNICIPIUL CODLEA, Anul 1995, Numar persoane, 683
0- 4 ani, Masculin, Brasov, 40241 MUNICIPIUL CODLEA, Anul 1996, Numar persoane, 669
0- 4 ani, Masculin, Brasov, 40241 MUNICIPIUL CODLEA, Anul 1997, Numar persoane, 653
