
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2009, Numar persoane, 1150
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2010, Numar persoane, 1165
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2011, Numar persoane, 1119
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2012, Numar persoane, 1103
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2013, Numar persoane, 1075
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2014, Numar persoane, 1040
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2015, Numar persoane, 1020
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2016, Numar persoane, 975
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2017, Numar persoane, 977
0- 4 ani, Masculin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 2009, Numar persoane, 511
0- 4 ani, Masculin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 2010, Numar persoane, 547
0- 4 ani, Masculin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 2011, Numar persoane, 560
0- 4 ani, Masculin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 2012, Numar persoane, 537
0- 4 ani, Masculin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 2013, Numar persoane, 513
0- 4 ani, Masculin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 2014, Numar persoane, 508
0- 4 ani, Masculin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 2015, Numar persoane, 462
0- 4 ani, Masculin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 2016, Numar persoane, 434
0- 4 ani, Masculin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 2017, Numar persoane, 454
0- 4 ani, Masculin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 2009, Numar persoane, 449
0- 4 ani, Masculin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 2010, Numar persoane, 446
0- 4 ani, Masculin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 2011, Numar persoane, 415
0- 4 ani, Masculin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 2012, Numar persoane, 378
0- 4 ani, Masculin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 2013, Numar persoane, 373
0- 4 ani, Masculin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 2014, Numar persoane, 356
0- 4 ani, Masculin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 2015, Numar persoane, 344
0- 4 ani, Masculin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 2016, Numar persoane, 324
0- 4 ani, Masculin, Harghita, 83632 MUNICIPIUL  TOPLITA, Anul 2017, Numar persoane, 340
0- 4 ani, Masculin, Harghita, 83133 MUNICIPIUL ODORHEIU SECUIESC, Anul 2009, Numar persoane, 1087
0- 4 ani, Masculin, Harghita, 83133 MUNICIPIUL ODORHEIU SECUIESC, Anul 2010, Numar persoane, 1058
0- 4 ani, Masculin, Harghita, 83133 MUNICIPIUL ODORHEIU SECUIESC, Anul 2011, Numar persoane, 1052
0- 4 ani, Masculin, Harghita, 83133 MUNICIPIUL ODORHEIU SECUIESC, Anul 2012, Numar persoane, 1003
0- 4 ani, Masculin, Harghita, 83133 MUNICIPIUL ODORHEIU SECUIESC, Anul 2013, Numar persoane, 943
0- 4 ani, Masculin, Harghita, 83133 MUNICIPIUL ODORHEIU SECUIESC, Anul 2014, Numar persoane, 943
0- 4 ani, Masculin, Harghita, 83133 MUNICIPIUL ODORHEIU SECUIESC, Anul 2015, Numar persoane, 928
0- 4 ani, Masculin, Harghita, 83133 MUNICIPIUL ODORHEIU SECUIESC, Anul 2016, Numar persoane, 914
0- 4 ani, Masculin, Harghita, 83133 MUNICIPIUL ODORHEIU SECUIESC, Anul 2017, Numar persoane, 903
0- 4 ani, Masculin, Harghita, 83428 ORAS BAILE TUSNAD, Anul 2009, Numar persoane, 41
0- 4 ani, Masculin, Harghita, 83428 ORAS BAILE TUSNAD, Anul 2010, Numar persoane, 42
0- 4 ani, Masculin, Harghita, 83428 ORAS BAILE TUSNAD, Anul 2011, Numar persoane, 39
0- 4 ani, Masculin, Harghita, 83428 ORAS BAILE TUSNAD, Anul 2012, Numar persoane, 42
0- 4 ani, Masculin, Harghita, 83428 ORAS BAILE TUSNAD, Anul 2013, Numar persoane, 45
0- 4 ani, Masculin, Harghita, 83428 ORAS BAILE TUSNAD, Anul 2014, Numar persoane, 43
0- 4 ani, Masculin, Harghita, 83428 ORAS BAILE TUSNAD, Anul 2015, Numar persoane, 42
0- 4 ani, Masculin, Harghita, 83428 ORAS BAILE TUSNAD, Anul 2016, Numar persoane, 34
0- 4 ani, Masculin, Harghita, 83428 ORAS BAILE TUSNAD, Anul 2017, Numar persoane, 37
0- 4 ani, Masculin, Harghita, 83464 ORAS BALAN, Anul 2009, Numar persoane, 220
0- 4 ani, Masculin, Harghita, 83464 ORAS BALAN, Anul 2010, Numar persoane, 221
0- 4 ani, Masculin, Harghita, 83464 ORAS BALAN, Anul 2011, Numar persoane, 204
0- 4 ani, Masculin, Harghita, 83464 ORAS BALAN, Anul 2012, Numar persoane, 184
0- 4 ani, Masculin, Harghita, 83464 ORAS BALAN, Anul 2013, Numar persoane, 182
0- 4 ani, Masculin, Harghita, 83464 ORAS BALAN, Anul 2014, Numar persoane, 149
0- 4 ani, Masculin, Harghita, 83464 ORAS BALAN, Anul 2015, Numar persoane, 143
