
Nationalitati , Ani, UM: Numar persoane, Valoare
De nationalitate romana, Anul 1990, Numar persoane, 23888
De nationalitate romana, Anul 1991, Numar persoane, 19307
De nationalitate romana, Anul 1992, Numar persoane, 18104
De nationalitate romana, Anul 1993, Numar persoane, 8814
De nationalitate romana, Anul 1994, Numar persoane, 10146
De nationalitate romana, Anul 1995, Numar persoane, 18706
De nationalitate romana, Anul 1996, Numar persoane, 16767
De nationalitate romana, Anul 1997, Numar persoane, 16883
De nationalitate romana, Anul 1998, Numar persoane, 15202
De nationalitate romana, Anul 1999, Numar persoane, 11283
De nationalitate romana, Anul 2000, Numar persoane, 13438
De nationalitate romana, Anul 2001, Numar persoane, 9023
De nationalitate romana, Anul 2002, Numar persoane, 7465
De nationalitate romana, Anul 2003, Numar persoane, 9886
De nationalitate romana, Anul 2004, Numar persoane, 11890
De nationalitate romana, Anul 2005, Numar persoane, 10301
De nationalitate romana, Anul 2006, Numar persoane, 13296
De nationalitate romana, Anul 2007, Numar persoane, 8589
De nationalitate romana, Anul 2008, Numar persoane, 8485
De nationalitate romana, Anul 2009, Numar persoane, 10052
De nationalitate romana, Anul 2010, Numar persoane, 7834
De nationalitate maghiara, Anul 1990, Numar persoane, 11040
De nationalitate maghiara, Anul 1991, Numar persoane, 7494
De nationalitate maghiara, Anul 1992, Numar persoane, 3523
De nationalitate maghiara, Anul 1993, Numar persoane, 3206
De nationalitate maghiara, Anul 1994, Numar persoane, 2509
De nationalitate maghiara, Anul 1995, Numar persoane, 3608
De nationalitate maghiara, Anul 1996, Numar persoane, 2105
De nationalitate maghiara, Anul 1997, Numar persoane, 1459
De nationalitate maghiara, Anul 1998, Numar persoane, 1217
De nationalitate maghiara, Anul 1999, Numar persoane, 696
De nationalitate maghiara, Anul 2000, Numar persoane, 788
De nationalitate maghiara, Anul 2001, Numar persoane, 647
De nationalitate maghiara, Anul 2002, Numar persoane, 489
De nationalitate maghiara, Anul 2003, Numar persoane, 661
De nationalitate maghiara, Anul 2004, Numar persoane, 1062
De nationalitate maghiara, Anul 2005, Numar persoane, 460
De nationalitate maghiara, Anul 2006, Numar persoane, 693
De nationalitate maghiara, Anul 2007, Numar persoane, 167
De nationalitate maghiara, Anul 2008, Numar persoane, 194
De nationalitate maghiara, Anul 2009, Numar persoane, 103
De nationalitate maghiara, Anul 2010, Numar persoane, 42
De nationalitate germani, Anul 1990, Numar persoane, 60072
De nationalitate germani, Anul 1991, Numar persoane, 15567
De nationalitate germani, Anul 1992, Numar persoane, 8852
De nationalitate germani, Anul 1993, Numar persoane, 5945
De nationalitate germani, Anul 1994, Numar persoane, 4065
De nationalitate germani, Anul 1995, Numar persoane, 2906
De nationalitate germani, Anul 1996, Numar persoane, 2315
De nationalitate germani, Anul 1997, Numar persoane, 1273
De nationalitate germani, Anul 1998, Numar persoane, 775
De nationalitate germani, Anul 1999, Numar persoane, 390
De nationalitate germani, Anul 2000, Numar persoane, 374
De nationalitate germani, Anul 2001, Numar persoane, 143
De nationalitate germani, Anul 2002, Numar persoane, 67
De nationalitate germani, Anul 2003, Numar persoane, 20
De nationalitate germani, Anul 2004, Numar persoane, 36
De nationalitate germani, Anul 2005, Numar persoane, 93
De nationalitate germani, Anul 2006, Numar persoane, 85
De nationalitate germani, Anul 2007, Numar persoane, 12
De nationalitate germani, Anul 2008, Numar persoane, 18
De nationalitate germani, Anul 2009, Numar persoane, 15
De nationalitate germani, Anul 2010, Numar persoane, 8
De nationalitate evrei, Anul 1990, Numar persoane, 745
De nationalitate evrei, Anul 1991, Numar persoane, 516
De nationalitate evrei, Anul 1992, Numar persoane, 224
De nationalitate evrei, Anul 1993, Numar persoane, 221
