,year,temp_avg,temp_delta,temp_delta_full_years,temp_delta_last10,temp_mean,temp_mean_full_years,temp_mean_last10,value,0,1,3,4,5,6
AGARD,2002,11.1,-0.0,-0.0,-0.2,11.2,11.1,11.4,1,128460,99999,HUNGARY,47.183,18.617,106.0
AGARD,2003,10.3,-0.8,-0.8,-1.0,11.2,11.1,11.4,1,128460,99999,HUNGARY,47.183,18.617,106.0
AGARD,2004,10.3,-0.8,-0.8,-1.0,11.2,11.1,11.4,1,128460,99999,HUNGARY,47.183,18.617,106.0
AGARD,2005,10.1,-1.1,-1.1,-1.3,11.2,11.1,11.4,1,128460,99999,HUNGARY,47.183,18.617,106.0
AGARD,2006,10.8,-0.4,-0.4,-0.6,11.2,11.1,11.4,1,128460,99999,HUNGARY,47.183,18.617,106.0
AGARD,2007,12.1,0.9,0.9,0.7,11.2,11.1,11.4,1,128460,99999,HUNGARY,47.183,18.617,106.0
AGARD,2008,11.5,0.3,0.4,0.2,11.2,11.1,11.4,1,128460,99999,HUNGARY,47.183,18.617,106.0
AGARD,2009,11.2,0.0,0.0,-0.2,11.2,11.1,11.4,1,128460,99999,HUNGARY,47.183,18.617,106.0
AGARD,2010,10.1,-1.0,-1.0,-1.2,11.2,11.1,11.4,1,128460,99999,HUNGARY,47.183,18.617,106.0
AGARD,2011,10.8,-0.4,-0.4,-0.6,11.2,11.1,11.4,1,128460,99999,HUNGARY,47.183,18.617,106.0
AGARD,2012,11.5,0.3,0.3,0.1,11.2,11.1,11.4,1,128460,99999,HUNGARY,47.183,18.617,106.0
AGARD,2013,11.1,-0.1,-0.0,-0.3,11.2,11.1,11.4,1,128460,99999,HUNGARY,47.183,18.617,106.0
AGARD,2014,11.9,0.7,0.8,0.5,11.2,11.1,11.4,1,128460,99999,HUNGARY,47.183,18.617,106.0
AGARD,2015,11.4,0.2,0.2,0.0,11.2,11.1,11.4,1,128460,99999,HUNGARY,47.183,18.617,106.0
AGARD,2016,11.3,0.1,0.1,-0.1,11.2,11.1,11.4,1,128460,99999,HUNGARY,47.183,18.617,106.0
AGARD,2017,11.4,0.3,0.3,0.1,11.2,11.1,11.4,1,128460,99999,HUNGARY,47.183,18.617,106.0
AGARD,2018,12.5,1.3,1.4,1.1,11.2,11.1,11.4,1,128460,99999,HUNGARY,47.183,18.617,106.0
BAJA,1973,10.7,0.1,0.1,-0.3,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1974,10.4,0.2,0.2,-0.2,10.2,10.2,10.6,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1975,11.0,0.4,0.4,-0.0,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1976,10.1,-0.5,-0.5,-0.9,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1977,11.0,0.4,0.4,-0.0,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1978,9.8,-0.8,-0.8,-1.2,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1979,11.1,0.4,0.5,0.1,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1980,9.5,-1.1,-1.1,-1.5,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1981,10.7,0.1,0.1,-0.3,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1982,10.9,0.3,0.3,-0.1,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1983,11.2,0.5,0.5,0.1,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1984,9.6,-0.9,-0.9,-1.3,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1985,9.1,-1.5,-1.5,-1.9,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1986,9.7,-0.9,-0.9,-1.3,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1987,8.4,-1.6,-1.6,-2.0,10.1,10.1,10.5,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1988,10.3,-0.5,-0.5,-0.9,10.8,10.7,11.2,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1989,10.9,0.2,0.2,-0.2,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1990,10.9,0.2,0.3,-0.1,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1991,9.5,-1.1,-1.1,-1.5,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1992,11.6,0.7,0.8,0.3,10.9,10.9,11.3,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1996,9.3,-1.3,-1.3,-1.7,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1997,9.8,-0.8,-0.8,-1.2,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1998,10.2,-0.4,-0.4,-0.8,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1999,10.5,-0.2,-0.2,-0.6,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,2000,11.8,1.2,1.2,0.8,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,2001,10.6,-0.1,-0.1,-0.5,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,2002,11.5,0.8,0.8,0.4,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,2003,10.3,-0.3,-0.3,-0.7,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,2004,10.3,-0.3,-0.3,-0.7,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,2005,9.9,-0.7,-0.7,-1.1,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,2006,10.6,-0.0,-0.0,-0.4,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,2007,11.4,0.8,0.8,0.4,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,2008,11.6,0.9,1.0,0.6,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,2009,11.3,0.6,0.7,0.3,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,2010,10.0,-0.6,-0.6,-1.0,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,2011,10.4,-0.2,-0.2,-0.6,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,2012,11.1,0.4,0.4,0.0,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,2013,11.0,0.3,0.3,-0.1,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,2014,11.7,1.0,1.1,0.7,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,2015,11.0,0.4,0.4,-0.0,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,2016,10.9,0.3,0.3,-0.1,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,2017,11.0,0.4,0.4,0.0,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,2018,12.0,1.3,1.3,0.9,10.6,10.6,11.0,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1994,12.7,0.8,0.8,0.3,11.8,11.8,12.3,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1993,11.2,-0.1,-0.1,-0.6,11.0,11.0,11.5,1,129600,99999,HUNGARY,46.183,19.017,113.0
BAJA,1995,10.8,-0.5,-0.5,-0.9,11.3,11.2,11.7,1,129600,99999,HUNGARY,46.183,19.017,113.0
BALATON,2013,11.2,-0.5,-0.7,,11.7,11.9,,1,128605,99999,HUNGARY,46.68600000000001,17.159000000000002,124.4
BALATON,2014,12.3,0.7,0.4,,11.6,11.9,,1,128605,99999,HUNGARY,46.68600000000001,17.159000000000002,124.4
BALATON,2015,11.6,-0.2,-0.3,,11.8,11.9,,1,128605,99999,HUNGARY,46.68600000000001,17.159000000000002,124.4
BALATON,2016,11.8,0.5,0.3,,11.4,11.6,,1,128605,99999,HUNGARY,46.68600000000001,17.159000000000002,124.4
BALATON,2017,12.2,0.5,0.4,,11.7,11.9,,1,128605,99999,HUNGARY,46.68600000000001,17.159000000000002,124.4
BALATON,2007,12.0,-0.1,-0.0,,12.1,12.0,,1,128605,99999,HUNGARY,46.68600000000001,17.159000000000002,124.4
BALATON,2012,13.0,0.6,0.6,,12.4,12.4,,1,128605,99999,HUNGARY,46.68600000000001,17.159000000000002,124.4
BALATON,2018,14.4,0.5,0.4,,13.9,14.0,,1,128605,99999,HUNGARY,46.68600000000001,17.159000000000002,124.4
BEKESCSABA,1973,9.2,-1.3,-1.2,-2.1,10.3,10.3,11.1,1,129920,99999,HUNGARY,46.683,21.166999999999998,90.0
BEKESCSABA,1974,10.0,-0.4,-0.4,-1.3,10.4,10.3,11.2,1,129920,99999,HUNGARY,46.683,21.166999999999998,90.0
BEKESCSABA,1975,10.3,-0.3,-0.3,-1.2,10.6,10.6,11.5,1,129920,99999,HUNGARY,46.683,21.166999999999998,90.0
BEKESCSABA,1976,9.4,-1.2,-1.2,-2.1,10.6,10.6,11.5,1,129920,99999,HUNGARY,46.683,21.166999999999998,90.0
BEKESCSABA,1977,10.1,-0.5,-0.5,-1.4,10.6,10.6,11.5,1,129920,99999,HUNGARY,46.683,21.166999999999998,90.0
BEKESCSABA,1978,9.1,-1.5,-1.5,-2.4,10.6,10.6,11.5,1,129920,99999,HUNGARY,46.683,21.166999999999998,90.0
BEKESCSABA,1979,10.4,-0.2,-0.1,-1.0,10.6,10.6,11.5,1,129920,99999,HUNGARY,46.683,21.166999999999998,90.0
BEKESCSABA,1980,8.8,-1.8,-1.7,-2.6,10.6,10.6,11.5,1,129920,99999,HUNGARY,46.683,21.166999999999998,90.0
BEKESCSABA,1981,9.9,-0.7,-0.7,-1.6,10.6,10.6,11.5,1,129920,99999,HUNGARY,46.683,21.166999999999998,90.0
BEKESCSABA,1982,9.9,-0.8,-0.7,-1.6,10.6,10.6,11.5,1,129920,99999,HUNGARY,46.683,21.166999999999998,90.0
BEKESCSABA,1983,10.2,-0.4,-0.4,-1.2,10.6,10.6,11.5,1,129920,99999,HUNGARY,46.683,21.166999999999998,90.0
BEKESCSABA,1984,9.4,-1.0,-1.0,-1.9,10.4,10.4,11.3,1,129920,99999,HUNGARY,46.683,21.166999999999998,90.0
BEKESCSABA,1985,8.9,-1.7,-1.7,-2.5,10.6,10.6,11.5,1,129920,99999,HUNGARY,46.683,21.166999999999998,90.0
BEKESCSABA,1986,10.1,-0.5,-0.5,-1.3,10.6,10.6,11.5,1,129920,99999,HUNGARY,46.683,21.166999999999998,90.0
BEKESCSABA,1987,8.8,-1.3,-1.2,-2.1,10.1,10.1,10.9,1,129920,99999,HUNGARY,46.683,21.166999999999998,90.0
BEKESCSABA,1988,10.2,-0.6,-0.5,-1.4,10.7,10.7,11.6,1,129920,99999,HUNGARY,46.683,21.166999999999998,90.0
BEKESCSABA,1989,10.5,-0.1,-0.1,-1.0,10.6,10.6,11.5,1,129920,99999,HUNGARY,46.683,21.166999999999998,90.0
BEKESCSABA,1990,10.6,-0.0,-0.0,-0.9,10.6,10.6,11.5,1,129920,99999,HUNGARY,46.683,21.166999999999998,90.0
BEKESCSABA,1991,9.4,-1.2,-1.2,-2.1,10.6,10.6,11.5,1,129920,99999,HUNGARY,46.683,21.166999999999998,90.0
