
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, TOTAL, Anul 1990, Numar persoane, 247086
Total, TOTAL, Anul 1991, Numar persoane, 251760
Total, TOTAL, Anul 1992, Numar persoane, 263855
Total, TOTAL, Anul 1993, Numar persoane, 263323
Total, TOTAL, Anul 1994, Numar persoane, 266101
Total, TOTAL, Anul 1995, Numar persoane, 271672
Total, TOTAL, Anul 1996, Numar persoane, 286158
Total, TOTAL, Anul 1997, Numar persoane, 279315
Total, TOTAL, Anul 1998, Numar persoane, 269166
Total, TOTAL, Anul 1999, Numar persoane, 265194
Total, TOTAL, Anul 2000, Numar persoane, 255820
Total, TOTAL, Anul 2001, Numar persoane, 259603
Total, TOTAL, Anul 2002, Numar persoane, 269666
Total, TOTAL, Anul 2003, Numar persoane, 266575
Total, TOTAL, Anul 2004, Numar persoane, 258890
Total, TOTAL, Anul 2005, Numar persoane, 262101
Total, TOTAL, Anul 2006, Numar persoane, 258094
Total, TOTAL, Anul 2007, Numar persoane, 251965
Total, TOTAL, Anul 2008, Numar persoane, 253202
Total, TOTAL, Anul 2009, Numar persoane, 257213
Total, TOTAL, Anul 2010, Numar persoane, 259723
Total, TOTAL, Anul 2011, Numar persoane, 251439
Total, TOTAL, Anul 2012, Numar persoane, 255539
Total, TOTAL, Anul 2013, Numar persoane, 249904
Total, Regiunea NORD-VEST, Anul 1990, Numar persoane, 33300
Total, Regiunea NORD-VEST, Anul 1991, Numar persoane, 34148
Total, Regiunea NORD-VEST, Anul 1992, Numar persoane, 36561
Total, Regiunea NORD-VEST, Anul 1993, Numar persoane, 36422
Total, Regiunea NORD-VEST, Anul 1994, Numar persoane, 36192
Total, Regiunea NORD-VEST, Anul 1995, Numar persoane, 35955
Total, Regiunea NORD-VEST, Anul 1996, Numar persoane, 37055
Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 36913
Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 35583
Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 34854
Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 33976
Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 34134
Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 34776
Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 33934
Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 34010
Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 33798
Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 33155
Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 31735
Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 31377
Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 32124
Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 31903
Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 31013
Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 31590
Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 31030
Total, Regiunea CENTRU, Anul 1990, Numar persoane, 27620
Total, Regiunea CENTRU, Anul 1991, Numar persoane, 27586
Total, Regiunea CENTRU, Anul 1992, Numar persoane, 29153
Total, Regiunea CENTRU, Anul 1993, Numar persoane, 29551
Total, Regiunea CENTRU, Anul 1994, Numar persoane, 29104
Total, Regiunea CENTRU, Anul 1995, Numar persoane, 29875
Total, Regiunea CENTRU, Anul 1996, Numar persoane, 30888
Total, Regiunea CENTRU, Anul 1997, Numar persoane, 30828
Total, Regiunea CENTRU, Anul 1998, Numar persoane, 29763
Total, Regiunea CENTRU, Anul 1999, Numar persoane, 29384
Total, Regiunea CENTRU, Anul 2000, Numar persoane, 27738
Total, Regiunea CENTRU, Anul 2001, Numar persoane, 28249
Total, Regiunea CENTRU, Anul 2002, Numar persoane, 29822
Total, Regiunea CENTRU, Anul 2003, Numar persoane, 28699
Total, Regiunea CENTRU, Anul 2004, Numar persoane, 28555
Total, Regiunea CENTRU, Anul 2005, Numar persoane, 28805
Total, Regiunea CENTRU, Anul 2006, Numar persoane, 28950
Total, Regiunea CENTRU, Anul 2007, Numar persoane, 27517
Total, Regiunea CENTRU, Anul 2008, Numar persoane, 28049
Total, Regiunea CENTRU, Anul 2009, Numar persoane, 28329
Total, Regiunea CENTRU, Anul 2010, Numar persoane, 28266
Total, Regiunea CENTRU, Anul 2011, Numar persoane, 27465
Total, Regiunea CENTRU, Anul 2012, Numar persoane, 27677
Total, Regiunea CENTRU, Anul 2013, Numar persoane, 27370
Total, Regiunea NORD-EST, Anul 1990, Numar persoane, 35655
Total, Regiunea NORD-EST, Anul 1991, Numar persoane, 36957
Total, Regiunea NORD-EST, Anul 1992, Numar persoane, 38554
Total, Regiunea NORD-EST, Anul 1993, Numar persoane, 38880
Total, Regiunea NORD-EST, Anul 1994, Numar persoane, 40578
Total, Regiunea NORD-EST, Anul 1995, Numar persoane, 41177
Total, Regiunea NORD-EST, Anul 1996, Numar persoane, 44389
Total, Regiunea NORD-EST, Anul 1997, Numar persoane, 42654
Total, Regiunea NORD-EST, Anul 1998, Numar persoane, 40911
Total, Regiunea NORD-EST, Anul 1999, Numar persoane, 40623
Total, Regiunea NORD-EST, Anul 2000, Numar persoane, 40176
Total, Regiunea NORD-EST, Anul 2001, Numar persoane, 40539
