
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, TOTAL, Anul 1999, Numar persoane, 265194
Total, TOTAL, Anul 2000, Numar persoane, 255820
Total, TOTAL, Anul 2001, Numar persoane, 259603
Total, TOTAL, Anul 2002, Numar persoane, 269666
Total, TOTAL, Anul 2003, Numar persoane, 266575
Total, TOTAL, Anul 2004, Numar persoane, 258890
Total, TOTAL, Anul 2005, Numar persoane, 262101
Total, TOTAL, Anul 2006, Numar persoane, 258094
Total, TOTAL, Anul 2007, Numar persoane, 251965
Total, TOTAL, Anul 2008, Numar persoane, 253202
Total, TOTAL, Anul 2009, Numar persoane, 257213
Total, TOTAL, Anul 2010, Numar persoane, 259723
Total, TOTAL, Anul 2011, Numar persoane, 251439
Total, TOTAL, Anul 2012, Numar persoane, 255539
Total, Covasna, Anul 1999, Numar persoane, 2556
Total, Covasna, Anul 2000, Numar persoane, 2405
Total, Covasna, Anul 2001, Numar persoane, 2351
Total, Covasna, Anul 2002, Numar persoane, 2573
Total, Covasna, Anul 2003, Numar persoane, 2600
Total, Covasna, Anul 2004, Numar persoane, 2511
Total, Covasna, Anul 2005, Numar persoane, 2427
Total, Covasna, Anul 2006, Numar persoane, 2593
Total, Covasna, Anul 2007, Numar persoane, 2467
Total, Covasna, Anul 2008, Numar persoane, 2523
Total, Covasna, Anul 2009, Numar persoane, 2559
Total, Covasna, Anul 2010, Numar persoane, 2526
Total, Covasna, Anul 2011, Numar persoane, 2421
Total, Covasna, Anul 2012, Numar persoane, 2483
Total, Harghita, Anul 1999, Numar persoane, 3906
Total, Harghita, Anul 2000, Numar persoane, 3711
Total, Harghita, Anul 2001, Numar persoane, 3747
Total, Harghita, Anul 2002, Numar persoane, 3929
Total, Harghita, Anul 2003, Numar persoane, 3897
Total, Harghita, Anul 2004, Numar persoane, 3759
Total, Harghita, Anul 2005, Numar persoane, 3778
Total, Harghita, Anul 2006, Numar persoane, 3918
Total, Harghita, Anul 2007, Numar persoane, 3602
Total, Harghita, Anul 2008, Numar persoane, 3714
Total, Harghita, Anul 2009, Numar persoane, 3679
Total, Harghita, Anul 2010, Numar persoane, 3654
Total, Harghita, Anul 2011, Numar persoane, 3556
Total, Harghita, Anul 2012, Numar persoane, 3564
Total, Mures, Anul 1999, Numar persoane, 7481
Total, Mures, Anul 2000, Numar persoane, 6898
Total, Mures, Anul 2001, Numar persoane, 7105
Total, Mures, Anul 2002, Numar persoane, 7621
Total, Mures, Anul 2003, Numar persoane, 7137
Total, Mures, Anul 2004, Numar persoane, 7190
Total, Mures, Anul 2005, Numar persoane, 7355
Total, Mures, Anul 2006, Numar persoane, 7295
Total, Mures, Anul 2007, Numar persoane, 6919
Total, Mures, Anul 2008, Numar persoane, 6858
Total, Mures, Anul 2009, Numar persoane, 7089
