
Sexe, Grupe de varsta , Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, TOTAL, Anul 1999, Numar persoane, 265194
Total, Total, TOTAL, Anul 2000, Numar persoane, 255820
Total, Total, TOTAL, Anul 2001, Numar persoane, 259603
Total, Total, TOTAL, Anul 2002, Numar persoane, 269666
Total, Total, TOTAL, Anul 2003, Numar persoane, 266575
Total, Total, TOTAL, Anul 2004, Numar persoane, 258890
Total, Total, TOTAL, Anul 2005, Numar persoane, 262101
Total, Total, TOTAL, Anul 2006, Numar persoane, 258094
Total, Total, TOTAL, Anul 2007, Numar persoane, 251965
Total, Total, TOTAL, Anul 2008, Numar persoane, 253202
Total, Total, TOTAL, Anul 2009, Numar persoane, 257213
Total, Total, TOTAL, Anul 2010, Numar persoane, 259723
Total, Total, TOTAL, Anul 2011, Numar persoane, 251439
Total, Total, TOTAL, Anul 2012, Numar persoane, 255539
Total, Total, Covasna, Anul 1999, Numar persoane, 2556
Total, Total, Covasna, Anul 2000, Numar persoane, 2405
Total, Total, Covasna, Anul 2001, Numar persoane, 2351
Total, Total, Covasna, Anul 2002, Numar persoane, 2573
Total, Total, Covasna, Anul 2003, Numar persoane, 2600
Total, Total, Covasna, Anul 2004, Numar persoane, 2511
Total, Total, Covasna, Anul 2005, Numar persoane, 2427
Total, Total, Covasna, Anul 2006, Numar persoane, 2593
Total, Total, Covasna, Anul 2007, Numar persoane, 2467
Total, Total, Covasna, Anul 2008, Numar persoane, 2523
Total, Total, Covasna, Anul 2009, Numar persoane, 2559
Total, Total, Covasna, Anul 2010, Numar persoane, 2526
Total, Total, Covasna, Anul 2011, Numar persoane, 2421
Total, Total, Covasna, Anul 2012, Numar persoane, 2483
Total, Total, Harghita, Anul 1999, Numar persoane, 3906
Total, Total, Harghita, Anul 2000, Numar persoane, 3711
Total, Total, Harghita, Anul 2001, Numar persoane, 3747
Total, Total, Harghita, Anul 2002, Numar persoane, 3929
Total, Total, Harghita, Anul 2003, Numar persoane, 3897
Total, Total, Harghita, Anul 2004, Numar persoane, 3759
Total, Total, Harghita, Anul 2005, Numar persoane, 3778
Total, Total, Harghita, Anul 2006, Numar persoane, 3918
Total, Total, Harghita, Anul 2007, Numar persoane, 3602
Total, Total, Harghita, Anul 2008, Numar persoane, 3714
Total, Total, Harghita, Anul 2009, Numar persoane, 3679
Total, Total, Harghita, Anul 2010, Numar persoane, 3654
Total, Total, Harghita, Anul 2011, Numar persoane, 3556
Total, Total, Harghita, Anul 2012, Numar persoane, 3564
Total, Total, Mures, Anul 1999, Numar persoane, 7481
Total, Total, Mures, Anul 2000, Numar persoane, 6898
Total, Total, Mures, Anul 2001, Numar persoane, 7105
Total, Total, Mures, Anul 2002, Numar persoane, 7621
Total, Total, Mures, Anul 2003, Numar persoane, 7137
Total, Total, Mures, Anul 2004, Numar persoane, 7190
Total, Total, Mures, Anul 2005, Numar persoane, 7355
Total, Total, Mures, Anul 2006, Numar persoane, 7295
Total, Total, Mures, Anul 2007, Numar persoane, 6919
Total, Total, Mures, Anul 2008, Numar persoane, 6858
Total, Total, Mures, Anul 2009, Numar persoane, 7089
Total, Total, Mures, Anul 2010, Numar persoane, 7148
Total, Total, Mures, Anul 2011, Numar persoane, 6908
Total, Total, Mures, Anul 2012, Numar persoane, 6775
Total, 0-  4 ani, TOTAL, Anul 1999, Numar persoane, 5303
Total, 0-  4 ani, TOTAL, Anul 2000, Numar persoane, 5202
Total, 0-  4 ani, TOTAL, Anul 2001, Numar persoane, 4818
Total, 0-  4 ani, TOTAL, Anul 2002, Numar persoane, 4379
Total, 0-  4 ani, TOTAL, Anul 2003, Numar persoane, 4187
Total, 0-  4 ani, TOTAL, Anul 2004, Numar persoane, 4261
Total, 0-  4 ani, TOTAL, Anul 2005, Numar persoane, 3869
Total, 0-  4 ani, TOTAL, Anul 2006, Numar persoane, 3600
Total, 0-  4 ani, TOTAL, Anul 2007, Numar persoane, 3046
Total, 0-  4 ani, TOTAL, Anul 2008, Numar persoane, 2865
Total, 0-  4 ani, TOTAL, Anul 2009, Numar persoane, 2660
Total, 0-  4 ani, TOTAL, Anul 2010, Numar persoane, 2502
Total, 0-  4 ani, TOTAL, Anul 2011, Numar persoane, 2264
Total, 0-  4 ani, TOTAL, Anul 2012, Numar persoane, 2132
Total, 0-  4 ani, Covasna, Anul 1999, Numar persoane, 36
Total, 0-  4 ani, Covasna, Anul 2000, Numar persoane, 52
Total, 0-  4 ani, Covasna, Anul 2001, Numar persoane, 38
Total, 0-  4 ani, Covasna, Anul 2002, Numar persoane, 43
Total, 0-  4 ani, Covasna, Anul 2003, Numar persoane, 46
Total, 0-  4 ani, Covasna, Anul 2004, Numar persoane, 62
Total, 0-  4 ani, Covasna, Anul 2005, Numar persoane, 41
Total, 0-  4 ani, Covasna, Anul 2006, Numar persoane, 39
Total, 0-  4 ani, Covasna, Anul 2007, Numar persoane, 38
Total, 0-  4 ani, Covasna, Anul 2008, Numar persoane, 24
Total, 0-  4 ani, Covasna, Anul 2009, Numar persoane, 33
Total, 0-  4 ani, Covasna, Anul 2010, Numar persoane, 38
Total, 0-  4 ani, Covasna, Anul 2011, Numar persoane, 28
Total, 0-  4 ani, Covasna, Anul 2012, Numar persoane, 31
Total, 0-  4 ani, Harghita, Anul 1999, Numar persoane, 69
Total, 0-  4 ani, Harghita, Anul 2000, Numar persoane, 65
Total, 0-  4 ani, Harghita, Anul 2001, Numar persoane, 56
Total, 0-  4 ani, Harghita, Anul 2002, Numar persoane, 52
Total, 0-  4 ani, Harghita, Anul 2003, Numar persoane, 61
Total, 0-  4 ani, Harghita, Anul 2004, Numar persoane, 72
Total, 0-  4 ani, Harghita, Anul 2005, Numar persoane, 62
Total, 0-  4 ani, Harghita, Anul 2006, Numar persoane, 59
Total, 0-  4 ani, Harghita, Anul 2007, Numar persoane, 47
Total, 0-  4 ani, Harghita, Anul 2008, Numar persoane, 50
Total, 0-  4 ani, Harghita, Anul 2009, Numar persoane, 41
Total, 0-  4 ani, Harghita, Anul 2010, Numar persoane, 46
Total, 0-  4 ani, Harghita, Anul 2011, Numar persoane, 52
Total, 0-  4 ani, Harghita, Anul 2012, Numar persoane, 49
Total, 0-  4 ani, Mures, Anul 1999, Numar persoane, 161
Total, 0-  4 ani, Mures, Anul 2000, Numar persoane, 162
Total, 0-  4 ani, Mures, Anul 2001, Numar persoane, 122
Total, 0-  4 ani, Mures, Anul 2002, Numar persoane, 136
Total, 0-  4 ani, Mures, Anul 2003, Numar persoane, 116
Total, 0-  4 ani, Mures, Anul 2004, Numar persoane, 126
Total, 0-  4 ani, Mures, Anul 2005, Numar persoane, 105
Total, 0-  4 ani, Mures, Anul 2006, Numar persoane, 96
Total, 0-  4 ani, Mures, Anul 2007, Numar persoane, 91
Total, 0-  4 ani, Mures, Anul 2008, Numar persoane, 93
Total, 0-  4 ani, Mures, Anul 2009, Numar persoane, 102
Total, 0-  4 ani, Mures, Anul 2010, Numar persoane, 72
Total, 0-  4 ani, Mures, Anul 2011, Numar persoane, 71
Total, 0-  4 ani, Mures, Anul 2012, Numar persoane, 63
Total, 5-  9 ani, TOTAL, Anul 1999, Numar persoane, 776
Total, 5-  9 ani, TOTAL, Anul 2000, Numar persoane, 537
Total, 5-  9 ani, TOTAL, Anul 2001, Numar persoane, 456
Total, 5-  9 ani, TOTAL, Anul 2002, Numar persoane, 436
Total, 5-  9 ani, TOTAL, Anul 2003, Numar persoane, 383
Total, 5-  9 ani, TOTAL, Anul 2004, Numar persoane, 359
Total, 5-  9 ani, TOTAL, Anul 2005, Numar persoane, 361
Total, 5-  9 ani, TOTAL, Anul 2006, Numar persoane, 334
Total, 5-  9 ani, TOTAL, Anul 2007, Numar persoane, 327
Total, 5-  9 ani, TOTAL, Anul 2008, Numar persoane, 325
Total, 5-  9 ani, TOTAL, Anul 2009, Numar persoane, 266
Total, 5-  9 ani, TOTAL, Anul 2010, Numar persoane, 282
Total, 5-  9 ani, TOTAL, Anul 2011, Numar persoane, 206
Total, 5-  9 ani, TOTAL, Anul 2012, Numar persoane, 217
Total, 5-  9 ani, Covasna, Anul 1999, Numar persoane, 6
Total, 5-  9 ani, Covasna, Anul 2000, Numar persoane, 3
Total, 5-  9 ani, Covasna, Anul 2001, Numar persoane, 4
Total, 5-  9 ani, Covasna, Anul 2002, Numar persoane, 2
Total, 5-  9 ani, Covasna, Anul 2003, Numar persoane, 1
Total, 5-  9 ani, Covasna, Anul 2004, Numar persoane, 7
Total, 5-  9 ani, Covasna, Anul 2005, Numar persoane, 4
Total, 5-  9 ani, Covasna, Anul 2006, Numar persoane, 6
Total, 5-  9 ani, Covasna, Anul 2007, Numar persoane, 3
Total, 5-  9 ani, Covasna, Anul 2008, Numar persoane, 1
Total, 5-  9 ani, Covasna, Anul 2009, Numar persoane, 4
Total, 5-  9 ani, Covasna, Anul 2010, Numar persoane, 2
Total, 5-  9 ani, Covasna, Anul 2011, Numar persoane, 2
Total, 5-  9 ani, Covasna, Anul 2012, Numar persoane, 1
Total, 5-  9 ani, Harghita, Anul 1999, Numar persoane, 11
Total, 5-  9 ani, Harghita, Anul 2000, Numar persoane, 14
Total, 5-  9 ani, Harghita, Anul 2001, Numar persoane, 5
Total, 5-  9 ani, Harghita, Anul 2002, Numar persoane, 10
Total, 5-  9 ani, Harghita, Anul 2003, Numar persoane, 5
Total, 5-  9 ani, Harghita, Anul 2004, Numar persoane, 6
Total, 5-  9 ani, Harghita, Anul 2005, Numar persoane, 8
Total, 5-  9 ani, Harghita, Anul 2006, Numar persoane, 7
Total, 5-  9 ani, Harghita, Anul 2007, Numar persoane, 7
Total, 5-  9 ani, Harghita, Anul 2008, Numar persoane, 4
Total, 5-  9 ani, Harghita, Anul 2009, Numar persoane, 9
Total, 5-  9 ani, Harghita, Anul 2010, Numar persoane, 4
Total, 5-  9 ani, Harghita, Anul 2011, Numar persoane, 3
Total, 5-  9 ani, Harghita, Anul 2012, Numar persoane, 4
Total, 5-  9 ani, Mures, Anul 1999, Numar persoane, 25
Total, 5-  9 ani, Mures, Anul 2000, Numar persoane, 20
Total, 5-  9 ani, Mures, Anul 2001, Numar persoane, 11
Total, 5-  9 ani, Mures, Anul 2002, Numar persoane, 19
Total, 5-  9 ani, Mures, Anul 2003, Numar persoane, 10
