
CAEN Rev.1 (activitati ale economiei nationale - sectiuni), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
Total, Total, TOTAL, Anul 1992, Mii persoane, 10458
Total, Total, TOTAL, Anul 1993, Mii persoane, 10062
Total, Total, TOTAL, Anul 1994, Mii persoane, 10011.6
Total, Total, TOTAL, Anul 1995, Mii persoane, 9493
Total, Total, TOTAL, Anul 1996, Mii persoane, 9379
Total, Total, TOTAL, Anul 1997, Mii persoane, 9022.7
Total, Total, TOTAL, Anul 1998, Mii persoane, 8812.6
Total, Total, TOTAL, Anul 1999, Mii persoane, 8419.6
Total, Total, TOTAL, Anul 2000, Mii persoane, 8629.3
Total, Total, MACROREGIUNEA UNU, Anul 1992, Mii persoane, 2616.4
Total, Total, MACROREGIUNEA UNU, Anul 1993, Mii persoane, 2544
Total, Total, MACROREGIUNEA UNU, Anul 1994, Mii persoane, 2530.1
Total, Total, MACROREGIUNEA UNU, Anul 1995, Mii persoane, 2385.1
Total, Total, MACROREGIUNEA UNU, Anul 1996, Mii persoane, 2394.7
Total, Total, MACROREGIUNEA UNU, Anul 1997, Mii persoane, 2289
Total, Total, MACROREGIUNEA UNU, Anul 1998, Mii persoane, 2291.6
Total, Total, MACROREGIUNEA UNU, Anul 1999, Mii persoane, 2209.3
Total, Total, MACROREGIUNEA UNU, Anul 2000, Mii persoane, 2233.9
Total, Total, Regiunea NORD-VEST, Anul 1992, Mii persoane, 1376.8
Total, Total, Regiunea NORD-VEST, Anul 1993, Mii persoane, 1337.2
Total, Total, Regiunea NORD-VEST, Anul 1994, Mii persoane, 1318.8
Total, Total, Regiunea NORD-VEST, Anul 1995, Mii persoane, 1234.5
Total, Total, Regiunea NORD-VEST, Anul 1996, Mii persoane, 1231.9
Total, Total, Regiunea NORD-VEST, Anul 1997, Mii persoane, 1173.9
Total, Total, Regiunea NORD-VEST, Anul 1998, Mii persoane, 1203.6
Total, Total, Regiunea NORD-VEST, Anul 1999, Mii persoane, 1147.7
Total, Total, Regiunea NORD-VEST, Anul 2000, Mii persoane, 1170
Total, Total, Bihor, Anul 1992, Mii persoane, 317.4
Total, Total, Bihor, Anul 1993, Mii persoane, 317.2
Total, Total, Bihor, Anul 1994, Mii persoane, 305.8
Total, Total, Bihor, Anul 1995, Mii persoane, 266.1
Total, Total, Bihor, Anul 1996, Mii persoane, 265.4
Total, Total, Bihor, Anul 1997, Mii persoane, 258.7
Total, Total, Bihor, Anul 1998, Mii persoane, 270.5
Total, Total, Bihor, Anul 1999, Mii persoane, 262.1
Total, Total, Bihor, Anul 2000, Mii persoane, 281.2
Total, Total, Bistrita-Nasaud, Anul 1992, Mii persoane, 138.6
Total, Total, Bistrita-Nasaud, Anul 1993, Mii persoane, 128.7
Total, Total, Bistrita-Nasaud, Anul 1994, Mii persoane, 128
Total, Total, Bistrita-Nasaud, Anul 1995, Mii persoane, 125.1
Total, Total, Bistrita-Nasaud, Anul 1996, Mii persoane, 126.3
Total, Total, Bistrita-Nasaud, Anul 1997, Mii persoane, 126.6
Total, Total, Bistrita-Nasaud, Anul 1998, Mii persoane, 119.2
Total, Total, Bistrita-Nasaud, Anul 1999, Mii persoane, 119.4
Total, Total, Bistrita-Nasaud, Anul 2000, Mii persoane, 118.8
Total, Total, Cluj, Anul 1992, Mii persoane, 378.4
Total, Total, Cluj, Anul 1993, Mii persoane, 366.8
Total, Total, Cluj, Anul 1994, Mii persoane, 362.8
Total, Total, Cluj, Anul 1995, Mii persoane, 334.9
Total, Total, Cluj, Anul 1996, Mii persoane, 330.5
Total, Total, Cluj, Anul 1997, Mii persoane, 317.3
Total, Total, Cluj, Anul 1998, Mii persoane, 314.6
Total, Total, Cluj, Anul 1999, Mii persoane, 291.8
Total, Total, Cluj, Anul 2000, Mii persoane, 297.1
Total, Total, Maramures, Anul 1992, Mii persoane, 245.6
Total, Total, Maramures, Anul 1993, Mii persoane, 240.6
Total, Total, Maramures, Anul 1994, Mii persoane, 234.1
Total, Total, Maramures, Anul 1995, Mii persoane, 228.6
Total, Total, Maramures, Anul 1996, Mii persoane, 228.7
Total, Total, Maramures, Anul 1997, Mii persoane, 208.2
Total, Total, Maramures, Anul 1998, Mii persoane, 232.6
Total, Total, Maramures, Anul 1999, Mii persoane, 207.7
Total, Total, Maramures, Anul 2000, Mii persoane, 211.1
Total, Total, Satu Mare, Anul 1992, Mii persoane, 182.5
Total, Total, Satu Mare, Anul 1993, Mii persoane, 170.9
Total, Total, Satu Mare, Anul 1994, Mii persoane, 176.3
Total, Total, Satu Mare, Anul 1995, Mii persoane, 172.5
Total, Total, Satu Mare, Anul 1996, Mii persoane, 170.6
Total, Total, Satu Mare, Anul 1997, Mii persoane, 155.3
Total, Total, Satu Mare, Anul 1998, Mii persoane, 164.2
Total, Total, Satu Mare, Anul 1999, Mii persoane, 152.5
Total, Total, Satu Mare, Anul 2000, Mii persoane, 157
Total, Total, Salaj, Anul 1992, Mii persoane, 114.3
Total, Total, Salaj, Anul 1993, Mii persoane, 113
Total, Total, Salaj, Anul 1994, Mii persoane, 111.8
Total, Total, Salaj, Anul 1995, Mii persoane, 107.3
Total, Total, Salaj, Anul 1996, Mii persoane, 110.4
Total, Total, Salaj, Anul 1997, Mii persoane, 107.8
Total, Total, Salaj, Anul 1998, Mii persoane, 102.5
Total, Total, Salaj, Anul 1999, Mii persoane, 114.2
Total, Total, Salaj, Anul 2000, Mii persoane, 104.8
Total, Total, Regiunea CENTRU, Anul 1992, Mii persoane, 1239.6
Total, Total, Regiunea CENTRU, Anul 1993, Mii persoane, 1206.8
Total, Total, Regiunea CENTRU, Anul 1994, Mii persoane, 1211.3
Total, Total, Regiunea CENTRU, Anul 1995, Mii persoane, 1150.6
Total, Total, Regiunea CENTRU, Anul 1996, Mii persoane, 1162.8
Total, Total, Regiunea CENTRU, Anul 1997, Mii persoane, 1115.1
Total, Total, Regiunea CENTRU, Anul 1998, Mii persoane, 1088
Total, Total, Regiunea CENTRU, Anul 1999, Mii persoane, 1061.6
Total, Total, Regiunea CENTRU, Anul 2000, Mii persoane, 1063.9
Total, Total, Alba, Anul 1992, Mii persoane, 205.2
Total, Total, Alba, Anul 1993, Mii persoane, 193.7
Total, Total, Alba, Anul 1994, Mii persoane, 194.4
Total, Total, Alba, Anul 1995, Mii persoane, 188.7
Total, Total, Alba, Anul 1996, Mii persoane, 201.1
Total, Total, Alba, Anul 1997, Mii persoane, 172.6
Total, Total, Alba, Anul 1998, Mii persoane, 172.9
Total, Total, Alba, Anul 1999, Mii persoane, 173.5
Total, Total, Alba, Anul 2000, Mii persoane, 177.7
Total, Total, Brasov, Anul 1992, Mii persoane, 304.1
Total, Total, Brasov, Anul 1993, Mii persoane, 296.3
Total, Total, Brasov, Anul 1994, Mii persoane, 306.3
Total, Total, Brasov, Anul 1995, Mii persoane, 275.6
Total, Total, Brasov, Anul 1996, Mii persoane, 262.9
Total, Total, Brasov, Anul 1997, Mii persoane, 265.6
Total, Total, Brasov, Anul 1998, Mii persoane, 261.5
Total, Total, Brasov, Anul 1999, Mii persoane, 253.9
Total, Total, Brasov, Anul 2000, Mii persoane, 238.4
Total, Total, Covasna, Anul 1992, Mii persoane, 99.3
