Year;Month;Country;City;ATM; PAX;Capacity
2013;1;Austria;Vienna;171;6557;13652
2013;1;Belgium;Brussels;284;26374;43564
2013;1;Canary Islands - Spain;Tenerife;8;1231;1494
2013;1;Croatia;Zagreb;63;2504;10240
2013;1;Cyprus;Larnaca;8;1234;1440
2013;1;Czech Republic;Prague;90;2569;5992
2013;1;Denmark;Billund;26;2815;4914
2013;1;Denmark;Copenhagen;34;3253;6363
2013;1;Egypt;Cairo;45;2510;3348
2013;1;Egypt;Hurghada;8;1167;1416
2013;1;Finland;Helsinki;83;5208;10581
2013;1;Finland;Tampere;20;2789;3780
2013;1;France;Lyon;28;1114;2688
2013;1;France;Paris;248;27554;38394
2013;1;Germany;Berlin;194;14543;28042
2013;1;Germany;Cologne;55;5014;8238
2013;1;Germany;Dortmund;29;3891;5190
2013;1;Germany;Dresden;2;35;200
2013;1;Germany;Dusseldorf;126;7679;13071
2013;1;Germany;Frankfurt;236;20736;35068
2013;1;Germany;Hahn;32;4053;5850
2013;1;Germany;Hamburg;52;2300;4524
2013;1;Germany;Karlsruhe;8;1055;1512
2013;1;Germany;Munich;263;20566;39314
2013;1;Germany;Stuttgart;97;7754;13980
2013;1;Greece;Athens;10;1107;1640
2013;1;Greece;Thessaloniki;8;1355;1512
2013;1;Ireland;Dublin;94;13092;17154
2013;1;Israel;Tel Aviv;77;8545;11486
2013;1;Italy;Bari;21;2613;3678
2013;1;Italy;Bologna;6;816;1134
2013;1;Italy;Brescia;1;1;174
2013;1;Italy;Milan;162;19472;29772
2013;1;Italy;Naples;16;2142;2880
2013;1;Italy;Rome;142;17325;25184
2013;1;Italy;Treviso;28;2810;5292
2013;1;Kazakhstan;Atyrau;2;206;378
2013;1;Latvia;Riga;24;899;1824
2013;1;Malta;Malta;3;500;501
2013;1;Netherland;Amsterdam;207;23878;33999
2013;1;Netherland;Eindhoven;126;16176;23022
2013;1;Norway;Oslo;56;6379;10482
2013;1;Poland;Krakow;9;688;1656
2013;1;Poland;Warsaw;229;13290;26324
2013;1;Portugal;Lisbon;58;5167;8796
2013;1;Qatar;Doha;62;8609;10124
2013;1;Romania;Bucharest;110;3278;5712
2013;1;Romania;Tirgu Mures;22;2726;3960
2013;1;Russia;Ekaterinburg;6;654;1020
2013;1;Russia;Moscow;133;9728;18196
2013;1;Russia;Rostov;3;338;345
2013;1;Russia;St.Petersburg;9;1548;1796
2013;1;Spain;Barcelona;68;9940;12600
2013;1;Spain;Madrid;60;9191;11106
2013;1;Sweden;Gothenburg;52;5832;9594
2013;1;Sweden;Malmo;38;4815;6840
2013;1;Sweden;Stockholm;112;10382;20736
2013;1;Switzerland;Basel;34;4412;5304
2013;1;Switzerland;Bern;20;290;620
2013;1;Switzerland;Geneva;98;10390;15912
2013;1;Switzerland;Zurich;185;15097;25234
2013;1;Turkey;Istanbul;118;10577;17540
2013;1;Ukraine;Kiev;40;4722;6440
2013;1;United Kingdom;Birmingham;6;872;1134
2013;1;United Kingdom;Bristol;18;2919;3402
2013;1;United Kingdom;Edinburgh;18;2320;2652
2013;1;United Kingdom;London;625;77651;107836
2013;1;United Kingdom;Manchester;54;8002;9550
2013;2;Austria;Vienna;148;6379;11856
2013;2;Belgium;Brussels;266;26612;39558
2013;2;Canary Islands - Spain;Tenerife;8;1410;1488
2013;2;Croatia;Zagreb;54;1888;9606
2013;2;Cyprus;Larnaca;8;1204;1440
2013;2;Czech Republic;Prague;99;2992;6922
2013;2;Denmark;Billund;24;2826;4536
2013;2;Denmark;Copenhagen;32;3330;5979
2013;2;Egypt;Cairo;40;2102;2888
2013;2;Egypt;Hurghada;8;1164;1180
2013;2;Egypt;Sharm el Sheikh;1;130;144
2013;2;Finland;Helsinki;112;6128;13920
2013;2;Finland;Tampere;16;2129;3024
2013;2;France;Lyon;24;774;2232
2013;2;France;Paris;232;27142;36466
2013;2;Germany;Berlin;149;13625;21214
2013;2;Germany;Cologne;52;5092;7800
2013;2;Germany;Dortmund;23;3223;4140
2013;2;Germany;Dusseldorf;123;6970;11680
2013;2;Germany;Frankfurt;222;19848;32562
2013;2;Germany;Hahn;16;2121;2880
2013;2;Germany;Hamburg;47;2357;4089
2013;2;Germany;Munich;262;22010;39032
2013;2;Germany;Paderborn;1;143;180
2013;2;Germany;Stuttgart;78;7425;11280
2013;2;Ireland;Dublin;84;11168;15096
2013;2;Israel;Tel Aviv;61;7374;9270
2013;2;Italy;Bari;16;2030;2880
2013;2;Italy;Milan;145;17913;26613
2013;2;Italy;Naples;16;2306;2880
2013;2;Italy;Rome;122;14442;21776
2013;2;Italy;Treviso;24;2737;4536
2013;2;Kazakhstan;Atyrau;1;90;148
2013;2;Latvia;Riga;24;861;1824
2013;2;Netherland;Amsterdam;194;23412;32710
2013;2;Netherland;Eindhoven;104;14001;18936
2013;2;Norway;Oslo;40;5087;7452
2013;2;Poland;Warsaw;206;12151;22920
2013;2;Portugal;Lisbon;56;5325;8592
2013;2;Qatar;Doha;56;7573;9960
2013;2;Romania;Bucharest;118;3956;6096
2013;2;Romania;Tirgu Mures;16;2019;2880
2013;2;Russia;Moscow;108;9551;14688
2013;2;Slovakia;Bratislava;1;173;194
2013;2;Spain;Barcelona;56;8537;10368
2013;2;Spain;Madrid;49;7570;9068
2013;2;Sweden;Gothenburg;48;5603;8856
2013;2;Sweden;Malmo;34;4161;6120
2013;2;Sweden;Norrkoping;2;195;360
2013;2;Sweden;Stockholm;102;10222;18927
2013;2;Switzerland;Basel;32;4520;4992
2013;2;Switzerland;Bern;18;244;558
2013;2;Switzerland;Geneva;102;12255;16488
2013;2;Switzerland;Zurich;167;15246;23031
2013;2;Tunesia;Monastir;1;88;120
2013;2;Turkey;Istanbul;112;11536;17090
2013;2;Ukraine;Kiev;32;4152;5760
2013;2;United Kingdom;Bristol;16;2608;3024
2013;2;United Kingdom;Edinburgh;16;2265;2356
2013;2;United Kingdom;London;576;78068;99471
2013;2;United Kingdom;Manchester;50;7595;8384
2013;3;Austria;Vienna;176;8365;14480
2013;3;Belgium;Brussels;310;32487;47148
2013;3;Bulgaria;Sofia;1;89;170
2013;3;Canary Islands - Spain;Tenerife;2;224;372
2013;3;Croatia;Zagreb;61;2863;10682
2013;3;Cyprus;Larnaca;20;2536;3560
2013;3;Cyprus;Paphos;4;479;756
2013;3;Czech Republic;Prague;152;4977;10518
2013;3;Denmark;Billund;28;3662;5292
2013;3;Denmark;Copenhagen;37;4591;6701
2013;3;Egypt;Cairo;46;2453;3312
2013;3;Egypt;Hurghada;10;1442;1466
2013;3;Egypt;Sharm el Sheikh;10;1290;1440
2013;3;Finland;Helsinki;121;10110;15748
2013;3;Finland;Tampere;18;2757;3402
2013;3;France;Lyon;26;1310;2544
2013;3;France;Paris;262;34607;41112
2013;3;Germany;Berlin;166;17451;24236
2013;3;Germany;Cologne;62;7159;9258
2013;3;Germany;Dortmund;48;6800;8640
2013;3;Germany;Dusseldorf;117;7623;11041
2013;3;Germany;Frankfurt;238;24743;37130
2013;3;Germany;Hahn;24;3344;4320
2013;3;Germany;Hamburg;48;3035;4176
2013;3;Germany;Munich;278;28936;43226
2013;3;Germany;Stuttgart;96;10457;13860
2013;3;Greece;Athens;11;932;1672
2013;3;Ireland;Dublin;98;14550;17652
2013;3;Israel;Tel Aviv;114;15242;18162
2013;3;Italy;Bari;20;2710;3600
2013;3;Italy;Catania;12;1681;2160
2013;3;Italy;Milan;160;22323;29358
2013;3;Italy;Naples;24;3424;4320
2013;3;Italy;Palermo;7;943;1152
2013;3;Italy;Pisa;4;530;756
2013;3;Italy;Rome;151;20983;26981
2013;3;Italy;Torino;1;89;170
2013;3;Italy;Treviso;26;3174;4914
2013;3;Kazakhstan;Atyrau;2;208;372
2013;3;Latvia;Riga;24;1185;1824
2013;3;Montenegro;Podgorica;1;34;115
2013;3;Netherland;Amsterdam;223;31428;37618
2013;3;Netherland;Eindhoven;122;16730;22194
2013;3;Norway;Oslo;56;7143;10362
2013;3;Oman;Muscat;1;84;170
2013;3;Poland;Katowice;1;137;180
2013;3;Poland;Warsaw;222;14136;24642
2013;3;Portugal;Lisbon;60;6093;9256
2013;3;Qatar;Doha;62;8943;10864
2013;3;Romania;Bucharest;128;4630;7045
2013;3;Romania;Cluj;2;77;200
2013;3;Romania;Tirgu Mures;24;2895;4320
2013;3;Russia;Moscow;124;11578;16976
2013;3;Slovakia;Sliac;1;64;170
2013;3;Spain;Alicante;4;673;756
2013;3;Spain;Barcelona;62;10252;11484
2013;3;Spain;Madrid;59;9447;10829
2013;3;Spain;Santiago de Compostela;1;130;155
2013;3;Sweden;Gothenburg;54;6774;9972
2013;3;Sweden;Malmo;41;5817;7380
2013;3;Sweden;Stockholm;114;14436;21129
2013;3;Switzerland;Basel;36;4897;5616
2013;3;Switzerland;Bern;18;293;558
2013;3;Switzerland;Geneva;116;14964;18720
2013;3;Switzerland;Zurich;186;17941;24902
2013;3;Tunesia;Monastir;10;571;1300
2013;3;Turkey;Antalya;7;1241;1242
2013;3;Turkey;Istanbul;125;13992;19082
2013;3;Ukraine;Kiev;52;7210;9360
2013;3;United Kingdom;Bristol;18;3068;3402
2013;3;United Kingdom;Edinburgh;17;2396;2516
2013;3;United Kingdom;London;646;92241;111150
2013;3;United Kingdom;Manchester;62;9578;10586
2013;4;Austria;Vienna;180;9717;14524
2013;4;Belgium;Brussels;316;36334;48088
2013;4;Croatia;Zagreb;60;4420;10546
2013;4;Cyprus;Larnaca;22;2935;3960
2013;4;Cyprus;Paphos;18;2334;3402
2013;4;Czech Republic;Prague;178;6159;12720
2013;4;Denmark;Billund;24;3389;4536
2013;4;Denmark;Copenhagen;102;9675;14927
2013;4;Egypt;Cairo;42;2174;3032
2013;4;Egypt;Hurghada;8;1321;1251
2013;4;Egypt;Sharm el Sheikh;8;1190;1210
2013;4;Finland;Helsinki;138;16305;21874
2013;4;Finland;Tampere;18;2965;3402
2013;4;France;Lyon;28;2088;2978
2013;4;France;Paris;265;37419;42649
2013;4;France;Strasbourg;2;199;280
2013;4;Germany;Berlin;155;16655;23881
2013;4;Germany;Cologne;60;6586;9000
2013;4;Germany;Dortmund;60;8819;10800
2013;4;Germany;Dusseldorf;90;7669;11940
2013;4;Germany;Frankfurt;289;31314;42522
2013;4;Germany;Hahn;20;2857;3600
2013;4;Germany;Hamburg;60;3899;5264
2013;4;Germany;Munich;269;27012;39248
2013;4;Germany;Stuttgart;94;10431;13632
2013;4;Greece;Athens;26;2669;4248
2013;4;Greece;Thessaloniki;18;2257;3240
2013;4;Iceland;Reykjavik;4;726;738
2013;4;Ireland;Dublin;76;12397;13854
2013;4;Israel;Tel Aviv;115;16043;19458
2013;4;Italy;Bari;22;3229;3960
2013;4;Italy;Catania;33;4873;5716
2013;4;Italy;Lamezia;1;161;168
2013;4;Italy;Milan;156;22869;28570
2013;4;Italy;Naples;26;3726;4680
2013;4;Italy;Palermo;12;1872;1992
2013;4;Italy;Pisa;18;2737;3402
2013;4;Italy;Rome;169;24088;29846
2013;4;Italy;Treviso;18;2760;3402
2013;4;Kazakhstan;Atyrau;3;350;558
2013;4;Latvia;Riga;34;1915;2584
2013;4;Malta;Malta;8;1034;1440
2013;4;Netherland;Amsterdam;188;28545;31710
2013;4;Netherland;Eindhoven;126;18810;22914
2013;4;Netherland;Rotterdam;34;4432;5382
2013;4;Norway;Oslo;98;10899;17553
2013;4;Norway;TROMSO;2;359;360
2013;4;Poland;Warsaw;226;16820;25349
2013;4;Portugal;Lisbon;66;5832;9932
2013;4;Qatar;Doha;60;9308;10546
2013;4;Romania;Bucharest;124;4537;6896
2013;4;Romania;Tirgu Mures;20;2517;3600
2013;4;Russia;Moscow;120;12003;17506
2013;4;Russia;St.Petersburg;2;178;288
2013;4;Spain;Alicante;18;2795;3402
2013;4;Spain;Barcelona;60;9891;11106
2013;4;Spain;Bilbao;1;165;168
2013;4;Spain;Madrid;60;9664;11034
2013;4;Sweden;Gothenburg;50;6909;9216
2013;4;Sweden;Malmo;42;5974;7560
2013;4;Sweden;Stockholm;120;16989;22230
2013;4;Switzerland;Basel;34;4572;5304
2013;4;Switzerland;Bern;16;332;496
2013;4;Switzerland;Geneva;112;14771;18096
2013;4;Switzerland;Zurich;180;19768;25578
2013;4;Tunesia;Monastir;2;237;300
2013;4;Turkey;Antalya;11;2186;2262
2013;4;Turkey;Istanbul;120;14084;18986
2013;4;Ukraine;Kiev;60;7491;10800
2013;4;Ukraine;Lvov;2;32;60
2013;4;United Kingdom;Bristol;18;3010;3402
2013;4;United Kingdom;Edinburgh;26;3457;3812
2013;4;United Kingdom;London;634;94183;109146
2013;4;United Kingdom;Manchester;60;9221;10028
2013;5;Austria;Vienna;186;9218;13673
2013;5;Belgium;Brussels;340;39590;51469
2013;5;Croatia;Zagreb;62;5265;11046
2013;5;Cyprus;Larnaca;26;3557;4680
2013;5;Cyprus;Paphos;16;2290;3024
2013;5;Czech Republic;Prague;174;6400;12722
2013;5;Denmark;Billund;28;3905;5292
2013;5;Denmark;Copenhagen;108;11538;16487
2013;5;Egypt;Cairo;44;2190;3168
2013;5;Egypt;Hurghada;19;2772;3076
2013;5;Egypt;Sharm el Sheikh;10;1195;1604
2013;5;Finland;Helsinki;150;18884;22896
2013;5;Finland;Tampere;16;2566;3024
2013;5;France;Dijon;1;137;140
2013;5;France;Lyon;26;1875;2600
2013;5;France;Nantes;4;451;738
2013;5;France;Paris;280;41237;46358
2013;5;France;Strasbourg;1;103;148
2013;5;France;Toulouse;1;163;186
2013;5;Germany;Berlin;171;19389;25908
2013;5;Germany;Cologne;60;6715;8562
2013;5;Germany;Dortmund;62;9419;11160
2013;5;Germany;Dusseldorf;82;6817;10476
2013;5;Germany;Frankfurt;303;37976;48401
2013;5;Germany;Hahn;18;2667;3240
2013;5;Germany;Hamburg;60;4034;5161
2013;5;Germany;Munich;292;29075;39666
2013;5;Germany;Stuttgart;106;12176;15058
2013;5;Greece;Athens;26;3020;4172
2013;5;Greece;Thessaloniki;18;2537;3240
2013;5;Iceland;Reykjavik;5;870;928
2013;5;Ireland;Dublin;80;13353;14589
2013;5;Israel;Tel Aviv;135;20522;25419
2013;5;Italy;Bari;16;2136;2880
2013;5;Italy;Catania;21;3014;3740
2013;5;Italy;Milan;161;22714;29538
2013;5;Italy;Naples;26;3689;4680
2013;5;Italy;Palermo;1;100;168
2013;5;Italy;Pisa;18;2588;3402
2013;5;Italy;Rome;193;25181;33170
2013;5;Italy;Treviso;16;2369;3024
2013;5;Jordan;Aqaba;1;167;180
2013;5;Kazakhstan;Atyrau;1;177;180
2013;5;Latvia;Riga;36;2263;2736
2013;5;Malta;Malta;22;3096;3862
2013;5;Morocco;Casablanca;2;121;375
2013;5;Netherland;Amsterdam;240;32877;42220
2013;5;Netherland;Eindhoven;124;19194;22563
2013;5;Netherland;Rotterdam;36;5104;5828
2013;5;Norway;Oslo;116;13153;19973
2013;5;Norway;Sandefjord;2;182;336
2013;5;Poland;Krakow;1;93;189
2013;5;Poland;Warsaw;227;18215;25771
2013;5;Portugal;Lisbon;70;6962;10212
2013;5;Qatar;Doha;62;9358;11102
2013;5;Romania;Bucharest;126;4790;7110
2013;5;Romania;Tirgu Mures;16;2269;2880
2013;5;Russia;Moscow;123;12070;17608
2013;5;Russia;Rostov;3;290;379
2013;5;Russia;St.Petersburg;18;1500;2312
2013;5;Spain;Alicante;18;2745;3402
2013;5;Spain;Barcelona;62;10544;11493
2013;5;Spain;Bilbao;2;391;422
2013;5;Spain;Madrid;64;10232;11763
2013;5;Sweden;Gothenburg;54;7210;9972
2013;5;Sweden;Malmo;46;6977;8280
2013;5;Sweden;Stockholm;124;17705;22983
2013;5;Switzerland;Basel;36;4923;5616
2013;5;Switzerland;Bern;18;348;558
2013;5;Switzerland;Geneva;116;15208;18768
2013;5;Switzerland;Zurich;186;22874;28029
2013;5;Tunesia;ENFIDHA;3;364;378
2013;5;Tunesia;Monastir;10;1326;1640
2013;5;Turkey;Antalya;12;1931;2123
2013;5;Turkey;Istanbul;124;15342;19243
2013;5;Ukraine;Kiev;62;8736;11160
2013;5;United Kingdom;Bristol;16;2703;3024
2013;5;United Kingdom;Edinburgh;27;3529;3998
2013;5;United Kingdom;Glasgow;1;34;100
2013;5;United Kingdom;London;655;100333;112109
2013;5;United Kingdom;Manchester;62;9833;10738
2013;5;USA;Cold Bay;1;106;140
2013;6;Austria;Vienna;178;9614;13732
2013;6;Azerbaijan;Baku;8;805;1440
2013;6;Belgium;Brussels;321;36597;48404
2013;6;Bulgaria;Bourgas;27;3444;4688
2013;6;Bulgaria;Sofia;8;346;936
2013;6;Bulgaria;Varna;8;976;1440
2013;6;Canary Islands - Spain;Tenerife;4;460;620
2013;6;Croatia;Zagreb;61;5439;10999
2013;6;Cyprus;Larnaca;32;4966;5760
2013;6;Cyprus;Paphos;18;2762;3402
2013;6;Czech Republic;Prague;163;6672;11843
2013;6;Denmark;Billund;26;3822;4914
2013;6;Denmark;Copenhagen;82;9090;12011
2013;6;Egypt;Cairo;44;2447;3176
2013;6;Egypt;Hurghada;38;4764;6514
2013;6;Egypt;Sharm el Sheikh;11;1430;1754
2013;6;Finland;Helsinki;146;18883;23161
2013;6;Finland;Tampere;18;2878;3402
2013;6;Finland;Turku;8;1146;1440
2013;6;France;Angers;1;56;186
2013;6;France;Clermont ;1;176;189
2013;6;France;Lyon;27;1647;2813
2013;6;France;Nantes;4;530;744
2013;6;France;Paris;262;39525;43383
2013;6;France;Strasbourg;2;181;280
2013;6;France;Toulouse;1;115;189
2013;6;Germany;Berlin;166;18892;24227
2013;6;Germany;Cologne;60;6364;8928
2013;6;Germany;Dortmund;60;9043;10800
2013;6;Germany;Dusseldorf;90;8393;12180
2013;6;Germany;Frankfurt;298;36754;41666
2013;6;Germany;Friedrichshafen;1;37;70
2013;6;Germany;Hahn;20;2987;3600
2013;6;Germany;Hamburg;60;3887;5220
2013;6;Germany;Memmingen;1;154;180
2013;6;Germany;Munich;279;29657;40099
2013;6;Germany;Stuttgart;98;11177;14202
2013;6;Greece;Argostólion;3;532;540
2013;6;Greece;Athens;26;3684;4368
2013;6;Greece;Corfu;18;2747;3180
2013;6;Greece;Heraklion;27;3384;4151
2013;6;Greece;Kos;6;774;940
2013;6;Greece;Rhodos;18;2681;3075
2013;6;Greece;Thessaloniki;16;2404;2880
2013;6;Greece;Zakinthos;14;1894;2405
2013;6;Hungary;Debrecen;1;163;180
2013;6;Ireland;Dublin;72;12523;13248
2013;6;Israel;Tel Aviv;162;23182;28610
2013;6;Italy;Bari;18;2470;3240
2013;6;Italy;Catania;18;2834;3240
2013;6;Italy;Milan;158;21575;28880
2013;6;Italy;Naples;26;3570;4680
2013;6;Italy;Pisa;16;2119;3024
2013;6;Italy;Rome;202;25070;34962
2013;6;Italy;Treviso;18;2454;3402
2013;6;Jordan;Aqaba;7;921;1216
2013;6;Kazakhstan;Atyrau;3;207;508
2013;6;Latvia;Riga;42;2609;3192
2013;6;Malta;Malta;30;4378;5400
2013;6;Netherland;Amsterdam;230;31739;36042
2013;6;Netherland;Eindhoven;120;18257;21834
2013;6;Netherland;Rotterdam;34;4633;5406
2013;6;Norway;Oslo;102;13028;18180
2013;6;Poland;Warsaw;227;17552;25024
2013;6;Portugal;Lisbon;68;7971;11129
2013;6;Qatar;Doha;60;10110;10890
2013;6;Romania;Bucharest;123;4743;6650
2013;6;Romania;Tirgu Mures;23;3223;4140
2013;6;Russia;Moscow;120;11880;16992
2013;6;Russia;St.Petersburg;18;1422;2052
2013;6;Slovakia;Bratislava;1;4;180
2013;6;Slovakia;Zilina;1;21;48
2013;6;Spain;Alicante;16;2610;3024
2013;6;Spain;Barcelona;72;12017;13266
2013;6;Spain;Bilbao;1;147;189
2013;6;Spain;Madrid;63;10255;11560
2013;6;Spain;Malaga;12;1917;2160
2013;6;Spain;Palma De Mallorca;18;2499;3160
2013;6;Spain;Valencia;1;22;189
2013;6;Sweden;Gothenburg;52;7714;9594
2013;6;Sweden;Malmo;42;6446;7560
2013;6;Sweden;Stockholm;120;17384;22206
2013;6;Switzerland;Basel;34;4749;5304
2013;6;Switzerland;Bern;18;255;558
2013;6;Switzerland;Geneva;108;14153;17424
2013;6;Switzerland;Zurich;181;23233;28384
2013;6;Tunesia;Djerba;5;558;630
2013;6;Tunesia;ENFIDHA;14;1696;2052
2013;6;Tunesia;Monastir;26;3298;4345
2013;6;Turkey;Antalya;63;9455;10920
2013;6;Turkey;Bodrum;2;288;360
2013;6;Turkey;Istanbul;122;15857;20264
2013;6;Ukraine;Kiev;60;8325;10800
2013;6;United Kingdom;Bristol;18;3108;3402
2013;6;United Kingdom;Edinburgh;26;3503;3812
2013;6;United Kingdom;London;627;97459;107538
2013;6;United Kingdom;Manchester;60;9767;10356
2013;7;Austria;Innsbruck;1;86;189
2013;7;Austria;Vienna;182;8824;14264
2013;7;Azerbaijan;Baku;18;2335;3240
2013;7;Belgium;Brussels;314;40384;47997
2013;7;Bulgaria;Bourgas;53;8319;9334
2013;7;Bulgaria;Sofia;36;1617;3888
2013;7;Bulgaria;Varna;18;2737;3240
2013;7;Canary Islands - Spain;Tenerife;8;1211;1320
2013;7;Croatia;Dubrovnik;1;89;189
2013;7;Croatia;Zagreb;62;5023;11198
2013;7;Cyprus;Larnaca;35;5755;6300
2013;7;Cyprus;Paphos;18;3151;3402
2013;7;Czech Republic;Prague;127;5617;9470
2013;7;Denmark;Billund;26;4152;4914
